AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
101,45,5,44.6,15.00,19,8,2,42.1,6,2.00,73,5,11,24,14.0,40,28.0,0.0,70.0,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home,88,20,9,22.7,6.67,1,0,0,0.0,5,1.67,46,0,6,12,6.5,61,33.0,0.0,54.1
88,20,9,22.7,6.67,1,0,0,0.0,5,1.67,46,0,6,12,6.5,61,33.0,0.0,54.1,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away,101,45,5,44.6,15.00,19,8,2,42.1,6,2.00,73,5,11,24,14.0,40,28.0,0.0,70.0
132,53,6,40.2,17.67,19,5,2,26.3,8,2.67,74,1,4,28,10.5,57,47.0,0.0,82.5,852,2010-11-27,2010,11,27,,羽生市体育館,三洋電機レッドソア,柏エンゼルクロス,坂本博秋,天野ゆかり,3,0,3,Win,71,Home,128,39,4,30.5,13.00,4,1,1,25.0,8,2.67,63,1,5,10,5.6,70,41.0,0.0,58.6
128,39,4,30.5,13.00,4,1,1,25.0,8,2.67,63,1,5,10,5.6,70,41.0,0.0,58.6,852,2010-11-27,2010,11,27,,羽生市体育館,柏エンゼルクロス,三洋電機レッドソア,片田瑞己,,0,3,3,Lose,71,Away,132,53,6,40.2,17.67,19,5,2,26.3,8,2.67,74,1,4,28,10.5,57,47.0,0.0,82.5
94,43,4,45.7,14.33,11,2,2,18.2,12,4.00,76,2,3,27,11.2,51,37.0,0.0,72.5,853,2010-11-27,2010,11,27,,羽生市体育館,PFUブルーキャッツ,GSS東京サンビームズ,岸本太道,和田昭郁,3,0,3,Win,66,Home,127,43,5,33.9,14.33,16,6,1,37.5,4,1.33,58,2,12,11,7.5,65,39.0,0.0,60.0
127,43,5,33.9,14.33,16,6,1,37.5,4,1.33,58,2,12,11,7.5,65,39.0,0.0,60.0,853,2010-11-27,2010,11,27,,羽生市体育館,GSS東京サンビームズ,PFUブルーキャッツ,笛木彰,國見茂行,0,3,3,Lose,66,Away,94,43,4,45.7,14.33,11,2,2,18.2,12,4.00,76,2,3,27,11.2,51,37.0,0.0,72.5
92,49,2,53.3,16.33,8,4,0,50.0,7,2.33,73,6,6,33,18.2,38,24.0,0.0,63.2,854,2010-11-27,2010,11,27,,山鹿市総合体育館,埼玉上尾メディックス,大野石油広島オイラーズ,吉田敏明,藤本幹朗,3,0,3,Win,67,Home,99,33,5,33.3,11.00,9,2,1,22.2,1,0.33,46,0,8,14,7.6,66,28.0,0.0,42.4
99,33,5,33.3,11.00,9,2,1,22.2,1,0.33,46,0,8,14,7.6,66,28.0,0.0,42.4,854,2010-11-27,2010,11,27,,山鹿市総合体育館,大野石油広島オイラーズ,埼玉上尾メディックス,豆田憲昭,三ヶ島正好,0,3,3,Lose,67,Away,92,49,2,53.3,16.33,8,4,0,50.0,7,2.33,73,6,6,33,18.2,38,24.0,0.0,63.2
167,68,7,40.7,13.60,2,0,1,0.0,12,2.40,114,3,18,55,14.3,106,37.0,0.0,34.9,855,2010-11-27,2010,11,27,,山鹿市総合体育館,健祥会レッドハーツ,四国Eighty8Queen,佐々木充,,2,3,5,Lose,123,Home,161,65,10,40.4,13.00,2,1,1,50.0,18,3.60,116,6,9,64,18.1,66,35.0,0.0,53.0
161,65,10,40.4,13.00,2,1,1,50.0,18,3.60,116,6,9,64,18.1,66,35.0,0.0,53.0,855,2010-11-27,2010,11,27,,山鹿市総合体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,,3,2,5,Win,123,Away,167,68,7,40.7,13.60,2,0,1,0.0,12,2.40,114,3,18,55,14.3,106,37.0,0.0,34.9
116,34,8,29.3,11.33,0,0,0,-,2,0.67,57,3,13,16,11.2,62,28.0,0.0,45.2,856,2010-11-27,2010,11,27,,山鹿市総合体育館,フォレストリーヴズ熊本,KUROBEアクアフェアリーズ,中島裕二,古閑鈴香,0,3,3,Lose,76,Home,101,41,5,40.6,13.67,7,2,2,28.6,10,3.33,73,2,11,32,13.2,44,25.0,0.0,56.8
101,41,5,40.6,13.67,7,2,2,28.6,10,3.33,73,2,11,32,13.2,44,25.0,0.0,56.8,856,2010-11-27,2010,11,27,,山鹿市総合体育館,KUROBEアクアフェアリーズ,フォレストリーヴズ熊本,米山弘,浜田勝彦,3,0,3,Win,76,Away,116,34,8,29.3,11.33,0,0,0,-,2,0.67,57,3,13,16,11.2,62,28.0,0.0,45.2
104,44,2,42.3,14.67,12,5,0,41.7,4,1.33,73,1,7,30,11.4,44,28.0,0.0,63.6,857,2010-11-28,2010,11,28,,羽生市体育館,三洋電機レッドソア,Befcoビービースターズ,坂本博秋,天野ゆかり,3,0,3,Win,64,Home,113,32,11,28.3,10.67,4,0,1,0.0,1,0.33,52,3,7,14,11.7,66,35.0,0.0,53.0
113,32,11,28.3,10.67,4,0,1,0.0,1,0.33,52,3,7,14,11.7,66,35.0,0.0,53.0,857,2010-11-28,2010,11,28,,羽生市体育館,Befcoビービースターズ,三洋電機レッドソア,大澤長蔵,佐藤和也,0,3,3,Lose,64,Away,104,44,2,42.3,14.67,12,5,0,41.7,4,1.33,73,1,7,30,11.4,44,28.0,0.0,63.6
127,56,6,44.1,18.67,5,0,0,0.0,4,1.33,74,3,2,30,13.9,54,40.0,0.0,74.1,858,2010-11-28,2010,11,28,,羽生市体育館,PFUブルーキャッツ,柏エンゼルクロス,岸本太道,和田昭郁,3,0,3,Win,67,Home,127,43,7,33.9,14.33,5,2,0,40.0,4,1.33,59,1,5,13,6.9,70,39.0,0.0,55.7
127,43,7,33.9,14.33,5,2,0,40.0,4,1.33,59,1,5,13,6.9,70,39.0,0.0,55.7,858,2010-11-28,2010,11,28,,羽生市体育館,柏エンゼルクロス,PFUブルーキャッツ,片田瑞己,,0,3,3,Lose,67,Away,127,56,6,44.1,18.67,5,0,0,0.0,4,1.33,74,3,2,30,13.9,54,40.0,0.0,74.1
