No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,樽谷真由美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
2,,戸崎琴美,3,■,■,■,,,8,3,1,37.5,1.00,0,0,0,-,2,0.67,11,1,3,4,16.4,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
3,,吉田あい,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,2.0,0.0,100.0,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
4,,江畑幸子,3,■,■,■,,,33,18,1,54.5,6.00,15,7,1,46.7,2,0.67,13,0,1,6,11.5,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
6,,都澤みどり,3,■,■,■,,,8,6,0,75.0,2.00,0,0,0,-,0,-,16,2,0,5,19.1,2,2.0,0.0,100.0,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
7,,川原愛璃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
8,,佐藤瞳,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
10,,内田役子,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,0,-,7,1,2,3,22.1,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
11,L,中村かおり,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,7.0,0.0,77.8,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
12,,遠井萌仁,3,■,■,■,,,43,14,3,32.6,4.67,4,1,1,25.0,1,0.33,11,1,4,3,14.1,17,13.0,0.0,76.5,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
13,,石田小枝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
15,,高崎紗緒梨,3,■,■,■,,,8,4,0,50.0,1.33,0,0,0,-,1,0.33,15,0,1,3,5.0,10,4.0,0.0,40.0,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
16,L,松本朋恵,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,日立リヴァーレ,Befcoビービースターズ,濱田義弘,菅原貞敬,3,0,3,Win,59,Home
1,,門間希,3,■,■,■,,,11,2,1,18.2,0.67,0,0,0,-,0,-,9,0,1,3,8.3,2,1.0,0.0,50.0,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
2,,黄秀京,1,,□,,,,1,0,0,0.0,-,0,0,0,-,1,1.00,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
6,,渡辺佑梨子,3,■,■,■,,,12,3,3,25.0,1.00,0,0,0,-,1,0.33,8,0,2,1,3.1,4,2.0,0.0,50.0,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
7,,栗田琴恵,3,■,■,■,,,0,0,0,-,-,0,0,0,-,1,0.33,5,0,0,1,5.0,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
8,L,佐藤みなみ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,8.0,0.0,80.0,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
9,,山本摩理,3,■,■,■,,,17,4,1,23.5,1.33,0,0,0,-,0,-,4,0,0,2,12.5,16,9.0,0.0,56.2,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
10,,山崎望,3,■,■,■,,,30,8,2,26.7,2.67,1,0,0,0.0,1,0.33,9,0,2,2,5.6,23,10.0,0.0,43.5,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
11,,松崎渉,1,,,□,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
12,,長池彩代,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
13,,眞鍋春佳,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,3,15.0,4,3.0,0.0,75.0,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
14,,田野倉穂美,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
16,,赤西喜代里,3,■,■,■,,,16,3,2,18.8,1.00,0,0,0,-,1,0.33,5,0,0,0,0.0,2,0.0,0.0,0.0,851,2010-11-27,2010,11,27,,羽生市体育館,Befcoビービースターズ,日立リヴァーレ,大澤長蔵,佐藤和也,0,3,3,Lose,59,Away
1,,木村有希,3,■,■,■,,,20,8,1,40.0,2.67,0,0,0,-,1,0.33,14,0,0,6,10.7,23,19.0,0.0,82.6,852,2010-11-27,2010,11,27,,羽生市体育館,三洋電機レッドソア,柏エンゼルクロス,坂本博秋,天野ゆかり,3,0,3,Win,71,Home
2,,渡邊彩,3,■,■,■,,,14,6,0,42.9,2.00,0,0,0,-,1,0.33,8,0,0,3,9.4,0,0.0,0.0,-,852,2010-11-27,2010,11,27,,羽生市体育館,三洋電機レッドソア,柏エンゼルクロス,坂本博秋,天野ゆかり,3,0,3,Win,71,Home
3,,佐々木侑,3,■,■,■,,,32,14,1,43.8,4.67,9,3,1,33.3,3,1.00,13,1,3,4,13.8,4,3.0,0.0,75.0,852,2010-11-27,2010,11,27,,羽生市体育館,三洋電機レッドソア,柏エンゼルクロス,坂本博秋,天野ゆかり,3,0,3,Win,71,Home
5,,山田友香,1,,,□,,,5,2,1,40.0,2.00,0,0,0,-,0,-,0,0,0,0,-,3,2.0,0.0,66.7,852,2010-11-27,2010,11,27,,羽生市体育館,三洋電機レッドソア,柏エンゼルクロス,坂本博秋,天野ゆかり,3,0,3,Win,71,Home
