背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,八幡 美樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,都築 有美子,4,■,■,■,■,,33,11,1,33.3,2.75,0,0,0,-,1,0.25,13,0,3,5,9.6,41,26.0,0.0,63.4
4,,内田 暁子,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0.0,0.0,-
5,,松浦 麻琴,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,1,0.25,16,1,1,7,17.2,0,0.0,0.0,-
6,,近江 あかり,4,■,■,■,■,,28,8,1,28.6,2.00,0,0,0,-,1,0.25,15,1,2,4,13.3,32,22.0,0.0,68.8
8,,島村 春世,4,■,■,■,■,,35,16,2,45.7,4.00,0,0,0,-,0,-,14,0,1,5,8.9,0,0.0,0.0,-
9,,白垣 里紗,4,■,■,■,■,,26,9,2,34.6,2.25,9,3,1,33.3,1,0.25,9,0,1,1,2.8,0,0.0,0.0,-
11,,渡辺 美穂,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,金子 早織,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0.0,0.0,-
13,,大野 果奈,2,,,□,□,,2,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,L,鳥越 未玖,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,7.0,0.0,58.3
17,L,小山 綾菜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
18,,ハナ クトゥラ,4,■,■,■,■,,26,13,2,50.0,3.25,0,0,0,-,3,0.75,10,0,3,2,5.0,1,1.0,0.0,100.0
19,,家高 七央子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,151,58,8,38.4,14.50,9,3,1,33.3,7,1.75,83,2,12,27,10.5,86,56.0,0.0,65.1
