背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,岸本 一馬,3,□,□,,,□,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,浅倉 勇,2,,,,□,□,0,0,0,-,-,0,0,0,-,0,-,2,0,1,1,12.5,0,0.0,0.0,-
4,,今井 啓介,5,■,■,■,■,■,13,8,0,61.5,1.60,0,0,0,-,3,0.60,19,0,4,3,3.9,0,0.0,0.0,-
5,,山本 隆弘,5,■,■,■,■,■,44,17,7,38.6,3.40,22,8,4,36.4,0,-,19,2,4,10,21.6,2,0.0,0.0,0.0
6,L,小糸 敬夫,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,35,26.0,0.0,74.3
7,,西澤 吉邦,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,川村 慎二,5,■,■,■,■,■,21,9,0,42.9,1.80,1,0,0,0.0,1,0.20,21,3,2,5,19.3,26,13.0,0.0,50.0
9,,北川 祐介,5,■,■,■,■,■,11,10,1,90.9,2.00,0,0,0,-,3,0.60,5,0,0,1,5.0,0,0.0,0.0,-
10,,牛尾 正和,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,久保 尚志,5,□,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,10,2,2,3,27.5,0,0.0,0.0,-
18,,真鍋 政義,5,■,■,■,■,■,4,1,1,25.0,0.20,0,0,0,-,2,0.40,12,0,0,1,2.1,1,0.0,0.0,0.0
22,,カントル サンドロ,5,■,■,■,■,■,33,15,3,45.5,3.00,7,3,2,42.9,0,-,20,2,3,9,20.2,23,17.0,0.0,73.9
チーム合計,チーム合計,チーム合計,5,,,,,,126,60,12,47.6,12.00,30,11,6,36.7,9,1.80,108,9,16,33,15.2,87,56.0,0.0,64.4
