AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
76,45,7,59.2,15.00,13,4,2,30.8,4,1.33,77,2,12,13,2.9,52,35.0,11.0,77.9,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home,75,32,9,42.7,10.67,12,6,1,50.0,8,2.67,69,4,14,5,2.5,63,39.0,11.0,70.6
75,32,9,42.7,10.67,12,6,1,50.0,8,2.67,69,4,14,5,2.5,63,39.0,11.0,70.6,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away,76,45,7,59.2,15.00,13,4,2,30.8,4,1.33,77,2,12,13,2.9,52,35.0,11.0,77.9
98,42,9,42.9,14.00,10,2,2,20.0,8,2.67,74,4,5,12,7.8,45,25.0,14.0,71.1,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home,102,33,7,32.4,11.00,14,2,2,14.3,4,1.33,55,1,10,5,-0.5,67,30.0,23.0,61.9
102,33,7,32.4,11.00,14,2,2,14.3,4,1.33,55,1,10,5,-0.5,67,30.0,23.0,61.9,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,千葉ZELVA,警視庁フォートファイターズ,槌尾健,紀之定俊輔,0,3,3,Lose,54,75,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Away,98,42,9,42.9,14.00,10,2,2,20.0,8,2.67,74,4,5,12,7.8,45,25.0,14.0,71.1
71,41,5,57.7,13.67,20,13,0,65.0,11,3.67,74,4,8,14,7.4,40,19.0,15.0,66.2,502,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,ヴォレアス北海道,埼玉アザレア,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,75,49,68,14:00,15:21,443,印藤智一,大井悠矢,笹木宣拓,三船誠,Home,72,27,6,37.5,9.00,14,5,3,35.7,3,1.00,50,1,9,6,0.5,65,28.0,20.0,58.5
72,27,6,37.5,9.00,14,5,3,35.7,3,1.00,50,1,9,6,0.5,65,28.0,20.0,58.5,502,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,埼玉アザレア,ヴォレアス北海道,相澤修,岩川泰巳,0,3,3,Lose,49,75,68,14:00,15:21,443,印藤智一,大井悠矢,笹木宣拓,三船誠,Away,71,41,5,57.7,13.67,20,13,0,65.0,11,3.67,74,4,8,14,7.4,40,19.0,15.0,66.2
132,67,7,50.8,16.75,14,5,3,35.7,8,2.00,95,3,6,14,5.3,82,56.0,19.0,79.9,505,2021-10-31,2021,10,31,北海道,道北アークス大雪アリーナ,埼玉アザレア,千葉ZELVA,相澤修,岩川泰巳,3,1,4,Win,96,90,109,10:30,12:28,300,印藤智一,大塚健之,笹木宣拓,三船誠,Home,139,69,8,49.6,17.25,22,12,1,54.5,6,1.50,91,0,9,7,-0.5,89,37.0,35.0,61.2
139,69,8,49.6,17.25,22,12,1,54.5,6,1.50,91,0,9,7,-0.5,89,37.0,35.0,61.2,505,2021-10-31,2021,10,31,北海道,道北アークス大雪アリーナ,千葉ZELVA,埼玉アザレア,槌尾健,紀之定俊輔,1,3,4,Lose,90,96,109,10:30,12:28,300,印藤智一,大塚健之,笹木宣拓,三船誠,Away,132,67,7,50.8,16.75,14,5,3,35.7,8,2.00,95,3,6,14,5.3,82,56.0,19.0,79.9
88,43,9,48.9,14.33,29,16,3,55.2,9,3.00,75,5,9,8,6.3,55,35.0,13.0,75.5,506,2021-10-31,2021,10,31,北海道,道北アークス大雪アリーナ,ヴォレアス北海道,警視庁フォートファイターズ,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,0,3,Win,76,65,74,14:00,15:27,565,印藤智一,大井悠矢,藤井靖香,大友大輔,Home,80,38,8,47.5,12.67,13,4,1,30.8,5,1.67,66,2,10,6,1.5,65,29.0,24.0,63.1
80,38,8,47.5,12.67,13,4,1,30.8,5,1.67,66,2,10,6,1.5,65,29.0,24.0,63.1,506,2021-10-31,2021,10,31,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,ヴォレアス北海道,平林康裕,中道元貴,0,3,3,Lose,65,76,74,14:00,15:27,565,印藤智一,大井悠矢,藤井靖香,大友大輔,Away,88,43,9,48.9,14.33,29,16,3,55.2,9,3.00,75,5,9,8,6.3,55,35.0,13.0,75.5
