No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,,エバデダンジェフリー　宇意,3,■,■,■,,,10,5,3,50.0,1.67,0,0,0,-,1,0.33,8,1,1,2,15.6,1,1.0,0.0,100.0,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
2,,松坂洸汰,2,■,■,,,,8,5,0,62.5,2.50,0,0,0,-,0,-,5,0,0,0,0.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
4,,柳田百織,3,■,■,■,,,21,12,3,57.1,4.00,5,1,1,20.0,0,-,12,0,2,1,-2.1,1,1.0,0.0,100.0,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
5,,吉田綜眞,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
6,L,小林慎平,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,8.0,3.0,79.2,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
7,,加藤大雄,1,,,■,,,1,1,0,100.0,1.00,0,0,0,-,1,1.00,7,0,1,1,0.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
8,,後藤滉貴,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
10,,岡村義郎,1,,,□,,,2,1,0,50.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,1,1.0,0.0,100.0,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
11,,浅野卓雅,3,■,■,■,,,11,5,0,45.5,1.67,2,0,0,0.0,1,0.33,7,0,1,2,3.6,18,13.0,3.0,80.6,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
13,,兵頭佳樹,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,4,0.0,1.0,12.5,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
14,,谷平拓海,3,■,■,■,,,22,15,1,68.2,5.00,6,3,1,50.0,0,-,18,0,4,6,2.8,15,11.0,4.0,86.7,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
15,,小野宙,2,□,,■,,,0,0,0,-,-,0,0,0,-,0,-,5,0,1,0,-5.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
18,,長谷山拓,2,■,■,,,,0,0,0,-,-,0,0,0,-,1,0.50,6,1,2,1,12.5,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
19,,尾木将,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,富士通カワサキレッドスピリッツ,兵庫デルフィーノ,山本道彦,廣本遥,3,0,3,Win,78,68,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Home
1,,西澤岳,3,■,■,■,,,12,5,1,41.7,1.67,0,0,0,-,2,0.67,11,0,3,0,-6.8,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
2,,白川佑樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
3,,逢沢亘,3,■,■,■,,,7,3,0,42.9,1.00,0,0,0,-,2,0.67,12,2,2,3,18.8,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
4,,梅村靖二,3,■,■,■,,,17,7,3,41.2,2.33,3,2,0,66.7,1,0.33,14,1,7,0,-5.4,23,14.0,4.0,69.6,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
5,,中野将太,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,12,0,1,1,0.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
6,,サラダナエイダン,3,■,■,■,,,21,9,2,42.9,3.00,6,2,1,33.3,2,0.67,9,0,0,1,2.8,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
7,,田中寛人,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
9,,藤元公貴,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
12,,饒平名丈衣,3,■,■,■,,,15,5,3,33.3,1.67,2,1,0,50.0,1,0.33,9,1,1,0,8.3,12,4.0,5.0,54.2,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
14,,林優作,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
15,,藤原郷介,1,,,□,,,2,2,0,100.0,2.00,1,1,0,100.0,0,-,2,0,0,0,0.0,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
22,,奥田晃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
24,,平井銀次,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,3,1.0,0.0,33.3,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
27,L,森愛樹,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,25,20.0,2.0,84.0,557,2021-12-04,2021,12,04,千葉県,千葉公園体育館,兵庫デルフィーノ,富士通カワサキレッドスピリッツ,ﾏｲｹﾙﾎﾞｾﾝｽ,井上人哉,0,3,3,Lose,68,78,72,13:00,14:18,150,富田満,大井悠矢,笈川博彰,長嶋健二,Away
1,,小川貴大,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
2,,伊藤裕之介,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,1,0.33,8,0,0,1,3.1,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
3,,水野貴文,2,,□,□,,,3,2,0,66.7,1.00,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
5,,大野隆一,3,■,■,■,,,11,5,2,45.5,1.67,0,0,0,-,2,0.67,10,0,0,3,7.5,0,0.0,0.0,-,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
6,,松本幸博,3,■,■,■,,,23,6,2,26.1,2.00,0,0,0,-,3,1.00,10,0,1,0,-2.5,8,4.0,3.0,68.8,501,2021-10-30,2021,10,30,北海道,道北アークス大雪アリーナ,警視庁フォートファイターズ,千葉ZELVA,平林康裕,,3,0,3,Win,75,54,75,10:30,11:51,275,印藤智一,大塚健之,藤井靖香,大友大輔,Home
