背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,中川 一,5,□,□,■,■,■,11,7,0,63.6,1.40,1,1,0,100.0,3,0.60,10,0,1,0,0.0,0,0.0,0.0,-
2,,其田 大輔,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,金近 潤,5,■,■,■,■,■,30,9,0,30.0,1.80,4,1,0,25.0,1,0.20,26,1,4,6,9.6,24,24.0,0.0,100.0
4,,山元 克之,5,□,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,5,0,0,0,0.0,2,1.0,0.0,50.0
5,,前田 悟,5,■,■,■,■,■,4,3,0,75.0,0.60,0,0,0,-,2,0.40,13,0,2,2,3.8,0,0.0,0.0,-
7,,小林 宙史,3,,□,,□,□,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
8,,西田 靖宏,5,■,■,■,■,■,54,24,2,44.4,4.80,27,13,1,48.1,1,0.20,15,0,1,1,1.7,0,0.0,0.0,-
9,,山口 雅行,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
12,L,置本 雅司,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,26,22.0,0.0,84.6
15,,五十里 朗,4,■,■,,□,□,3,1,0,33.3,0.25,0,0,0,-,1,0.25,5,0,1,0,0.0,0,0.0,0.0,-
17,,半田 剛史,5,■,■,■,■,■,14,8,1,57.1,1.60,2,1,0,50.0,4,0.80,10,0,2,2,5.0,0,0.0,0.0,-
18,,砂川 登,5,■,■,■,■,■,26,15,1,57.7,3.00,0,0,0,-,1,0.20,21,1,1,0,4.8,45,39.0,0.0,86.7
チーム合計,チーム合計,チーム合計,5,,,,,,142,67,4,47.2,13.40,34,16,1,47.1,13,2.60,108,2,12,12,4.6,97,86.0,0.0,88.7
