背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,島村 春世,3,,,□,■,■,15,7,1,46.7,2.33,0,0,0,-,1,0.33,7,0,1,0,-3.6,0,0.0,0.0,-
2,,古賀 紗理那,5,■,■,■,■,■,36,16,0,44.4,3.20,3,1,0,33.3,1,0.20,28,4,3,11,21.4,19,10.0,3.0,60.5
3,,家高 七央子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
5,,大野 果奈,3,■,■,■,,,13,2,0,15.4,0.67,0,0,0,-,1,0.33,9,0,0,3,8.3,1,1.0,0.0,100.0
6,,上野 香織,5,■,■,■,■,■,23,13,0,56.5,2.60,0,0,0,-,1,0.20,16,1,3,5,9.4,0,0.0,0.0,-
7,,山口 かなめ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,柳田 光綺,5,■,■,■,■,■,47,14,1,29.8,2.80,3,1,0,33.3,3,0.60,11,0,2,1,-2.3,0,0.0,0.0,-
9,L,奥山 優奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,L,岩崎 紗也加,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,21,10.0,4.0,57.1
12,,廣瀬 七海,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
13,,山内 美咲,5,■,■,■,■,■,44,17,3,38.6,3.40,5,2,1,40.0,2,0.40,15,1,2,4,10.0,56,28.0,7.0,56.2
14,,塚田 しおり,5,■,■,■,■,■,1,0,0,0.0,-,0,0,0,-,0,-,22,3,1,9,22.7,0,0.0,0.0,-
15,,小島 満菜美,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,0.0,0.0,0.0
16,,荒谷 栞,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,179,69,5,38.5,13.80,11,4,1,36.4,9,1.80,108,9,12,33,13.2,99,49.0,14.0,56.6
