背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,福田 記代子,5,■,■,■,■,■,68,26,2,38.2,5.20,8,4,0,50.0,3,0.60,19,1,0,3,8.2,7,4.0,0.0,57.1
2,,江藤 直美,5,■,■,■,■,■,25,7,0,28.0,1.40,0,0,0,-,2,0.40,13,0,0,3,5.8,0,0.0,0.0,-
4,,多治見 麻子,5,■,■,■,■,■,18,11,0,61.1,2.20,0,0,0,-,3,0.60,21,0,2,11,13.1,32,21.0,0.0,65.6
5,,島崎 みゆき,5,■,■,■,■,■,3,1,0,33.3,0.20,0,0,0,-,0,-,16,0,1,2,3.1,0,0.0,0.0,-
6,,田中 姿子,5,■,■,■,■,■,50,21,0,42.0,4.20,0,0,0,-,2,0.40,14,0,0,5,8.9,18,17.0,0.0,94.4
7,,谷口 雅美,4,■,■,■,■,,33,9,3,27.3,2.25,0,0,0,-,0,-,18,1,2,5,11.4,12,7.0,0.0,58.3
8,,渡邉 悠美,1,,,,□,,4,2,0,50.0,2.00,0,0,0,-,1,1.00,1,0,1,0,0.0,2,1.0,0.0,50.0
11,,小玉 佐知子,5,□,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,8,0,0,2,6.2,0,0.0,0.0,-
13,,宝来 麻紀子,5,□,□,□,□,□,11,2,0,18.2,0.40,0,0,0,-,2,0.40,0,0,0,0,-,0,0.0,0.0,-
14,,西村 光代,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,L,久保山 沙織,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,30,22.0,0.0,73.3
18,,落合 真理,3,,□,□,,■,3,1,0,33.3,0.33,0,0,0,-,0,-,8,1,0,3,19.4,7,5.0,0.0,71.4
チーム合計,チーム合計,チーム合計,5,,,,,,215,80,5,37.2,16.00,8,4,0,50.0,13,2.60,118,3,6,34,9.2,108,77.0,0.0,71.3
