No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
4,,江畑幸子,3,■,■,■,,,46,21,2,45.7,7.00,11,6,0,54.5,0,-,10,1,3,3,17.5,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
5,L,佐藤あり紗,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,8.0,0.0,88.9,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
6,,引地舞,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
8,,佐藤美弥,3,■,■,■,,,3,1,1,33.3,0.33,0,0,0,-,3,1.00,15,1,1,3,10.3,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
9,,永松幸乃,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
10,,ドリスジェニファー,3,■,■,■,,,25,11,2,44.0,3.67,0,0,0,-,2,0.67,12,0,0,3,6.2,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
11,,高橋沙織,3,■,■,■,,,20,8,1,40.0,2.67,0,0,0,-,1,0.33,11,1,0,4,16.4,20,9.0,0.0,45.0,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
12,,遠井萌仁,3,■,■,■,,,12,6,0,50.0,2.00,0,0,0,-,0,-,17,0,1,10,14.7,18,12.0,0.0,66.7,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
13,,石田小枝,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
14,,佐々木美麗,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,2,16.7,0,0.0,0.0,-,851,2012-11-10,2012,11,10,,松任総合運動公園体育館,日立リヴァーレ,仙台ベルフィーユ,濱田義弘,菅原貞敬,3,0,3,Win,73,Home
