背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,バグナス ブライアン,3,■,■,■,,,24,14,2,58.3,4.67,6,3,1,50.0,0,-,10,0,3,2,-2.5,27,9.0,6.0,44.4
2,,田尻 信太郎,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
4,,勝 将哉,3,■,■,■,,,16,13,1,81.2,4.33,1,1,0,100.0,0,-,9,0,4,1,-8.3,14,3.0,6.0,42.9
5,,大西 基之,3,■,■,■,,,7,2,1,28.6,0.67,0,0,0,-,0,-,6,0,0,1,4.2,1,1.0,0.0,100.0
6,,木本 吉紀,1,,,□,,,1,0,0,0.0,-,0,0,0,-,0,-,4,0,1,0,-6.2,0,0.0,0.0,-
7,,松尾 敬介,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,2,1.0,1.0,75.0
8,,川口 喬,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,林 一壽,3,■,■,■,,,5,1,0,20.0,0.33,0,0,0,-,1,0.33,6,0,1,0,-4.2,1,0.0,0.0,0.0
13,L,久保田 雅人,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,3.0,53.1
14,,ヤカン グマ,3,■,■,■,,,30,16,0,53.3,5.33,12,4,0,33.3,0,-,12,1,1,2,10.4,0,0.0,0.0,-
16,,濱本 豊,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-
21,,井口 直紀,1,,,■,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
22,,藤岡 諒馬,2,■,■,,,,0,0,0,-,-,0,0,0,-,0,-,12,1,0,1,10.4,0,0.0,0.0,-
24,,米田 亘希,1,,,□,,,4,1,0,25.0,1.00,1,0,0,0.0,1,1.00,1,0,0,1,25.0,2,1.0,1.0,75.0
チーム合計,チーム合計,チーム合計,3,,,,,,87,47,4,54.0,15.67,20,8,1,40.0,2,0.67,67,2,10,10,3.0,63,22.0,17.0,48.4
