AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
123,53,6,43.1,13.25,33,14,3,42.4,6,1.50,86,3,10,12,6.3,84,70.0,0.0,83.3,188,2007-03-11,2007,03,11,,三島市民体育館,NECブルーロケッツ,東レアローズ,楊成太,小林秀章,1,3,4,Lose,99,Home,113,63,6,55.8,15.75,22,9,2,40.9,16,4.00,98,0,14,14,3.6,76,61.0,0.0,80.3
113,63,6,55.8,15.75,22,9,2,40.9,16,4.00,98,0,14,14,3.6,76,61.0,0.0,80.3,188,2007-03-11,2007,03,11,,三島市民体育館,東レアローズ,NECブルーロケッツ,矢島久徳,小林敦,3,1,4,Win,99,Away,123,53,6,43.1,13.25,33,14,3,42.4,6,1.50,86,3,10,12,6.3,84,70.0,0.0,83.3
82,33,9,40.2,11.00,19,8,3,42.1,4,1.33,57,1,8,14,7.5,64,36.0,0.0,56.2,150,2007-02-11,2007,02,11,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,NECブルーロケッツ,JTサンダーズ,楊成太,小林秀章,0,3,3,Lose,64,Home,73,42,7,57.5,14.00,19,9,3,47.4,11,3.67,73,2,9,26,11.1,49,34.0,0.0,69.4
73,42,7,57.5,14.00,19,9,3,47.4,11,3.67,73,2,9,26,11.1,49,34.0,0.0,69.4,150,2007-02-11,2007,02,11,,ジップアリーナ岡山（岡山県総合グラウンド体育館）,JTサンダーズ,NECブルーロケッツ,ｱﾝﾄﾛﾎﾟﾌｵﾚｰｸ,栗生澤淳一,3,0,3,Win,64,Away,82,33,9,40.2,11.00,19,8,3,42.1,4,1.33,57,1,8,14,7.5,64,36.0,0.0,56.2
128,68,14,53.1,13.60,38,16,8,42.1,16,3.20,116,6,15,31,11.3,97,63.0,0.0,64.9,148,2007-02-10,2007,02,10,,パナソニックアリーナ,東レアローズ,パナソニックパンサーズ,矢島久徳,小林敦,3,2,5,Win,113,Home,137,62,9,45.3,12.40,25,9,1,36.0,14,2.80,110,2,13,32,8.7,97,63.0,0.0,64.9
137,62,9,45.3,12.40,25,9,1,36.0,14,2.80,110,2,13,32,8.7,97,63.0,0.0,64.9,148,2007-02-10,2007,02,10,,パナソニックアリーナ,パナソニックパンサーズ,東レアローズ,下村護,南部正司,2,3,5,Lose,113,Away,128,68,14,53.1,13.60,38,16,8,42.1,16,3.20,116,6,15,31,11.3,97,63.0,0.0,64.9
75,39,5,52.0,13.00,16,5,2,31.2,6,2.00,64,0,10,23,9.0,59,30.0,0.0,50.8,145,2007-02-10,2007,02,10,,水島緑地福田公園体育館,大分三好ヴァイセアドラー,サントリーサンバーズ,坂口嘉彦,古田博幸,0,3,3,Lose,65,Home,77,46,3,59.7,15.33,24,15,3,62.5,5,1.67,73,6,11,26,16.3,54,31.0,0.0,57.4
77,46,3,59.7,15.33,24,15,3,62.5,5,1.67,73,6,11,26,16.3,54,31.0,0.0,57.4,145,2007-02-10,2007,02,10,,水島緑地福田公園体育館,サントリーサンバーズ,大分三好ヴァイセアドラー,河野克巳,森本高弘,3,0,3,Win,65,Away,75,39,5,52.0,13.00,16,5,2,31.2,6,2.00,64,0,10,23,9.0,59,30.0,0.0,50.8
90,42,7,46.7,14.00,15,10,1,66.7,8,2.67,67,1,10,14,6.4,69,43.0,0.0,62.3,187,2007-03-11,2007,03,11,,三島市民体育館,パナソニックパンサーズ,JTサンダーズ,下村護,南部正司,0,3,3,Lose,78,Home,85,45,4,52.9,15.00,13,6,1,46.2,13,4.33,74,0,5,26,8.8,57,42.0,0.0,73.7
85,45,4,52.9,15.00,13,6,1,46.2,13,4.33,74,0,5,26,8.8,57,42.0,0.0,73.7,187,2007-03-11,2007,03,11,,三島市民体育館,JTサンダーズ,パナソニックパンサーズ,ｱﾝﾄﾛﾎﾟﾌｵﾚｰｸ,栗生澤淳一,3,0,3,Win,78,Away,90,42,7,46.7,14.00,15,10,1,66.7,8,2.67,67,1,10,14,6.4,69,43.0,0.0,62.3
