No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,重松史乃,2,■,■,,,,2,1,0,50.0,0.50,0,0,0,-,0,-,6,0,1,2,8.3,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
2,L,村尾葉津樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
4,L,平岩沙紀,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,14.0,0.0,70.0,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
5,,篠木梨奈,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
6,,長岡藍,3,■,■,■,,,27,6,3,22.2,2.00,2,0,1,0.0,0,-,13,1,2,6,19.2,1,1.0,0.0,100.0,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
8,,三浦あゆみ,3,■,■,□,,,17,4,2,23.5,1.33,0,0,0,-,0,-,3,0,0,0,0.0,23,16.0,0.0,69.6,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
9,,秋満由紀子,3,■,■,■,,,28,13,0,46.4,4.33,1,0,0,0.0,1,0.33,7,0,0,2,7.1,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
11,,岩島みなみ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
12,,百瀬彩夏,3,■,■,■,,,24,10,1,41.7,3.33,0,0,0,-,1,0.33,5,0,1,1,5.0,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
15,,鈴木亜矢子,2,,□,■,,,6,2,0,33.3,1.00,0,0,0,-,0,-,5,0,1,3,15.0,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
16,,菊地めぐみ,2,■,■,,,,2,1,0,50.0,0.50,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
18,,草野静奈,3,□,□,■,,,1,0,0,0.0,-,0,0,0,-,0,-,9,0,0,5,13.9,0,0.0,0.0,-,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
20,,柴田由夏,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,6.0,0.0,66.7,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
21,,山下真理,2,,□,■,,,22,7,0,31.8,3.50,1,0,0,0.0,0,-,5,0,0,1,5.0,18,12.0,0.0,66.7,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home
1,,野末夏子,3,■,■,■,,,17,9,0,52.9,3.00,0,0,0,-,1,0.33,11,1,1,2,11.8,23,16.0,0.0,69.6,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,トヨタ自動車ヴァルキューレ,GSS東京サンビームズ,加藤信也,金子健一郎,3,0,3,Win,72,Away
