AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
129,44,6,34.1,14.67,4,0,1,0.0,2,0.67,56,1,6,21,11.2,71,49.0,0.0,69.0,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,多治見麻子,0,3,3,Lose,72,Home,113,51,2,45.1,17.00,0,0,0,-,4,1.33,73,6,2,16,12.1,49,28.0,0.0,57.1
113,51,2,45.1,17.00,0,0,0,-,4,1.33,73,6,2,16,12.1,49,28.0,0.0,57.1,801,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,トヨタ自動車ヴァルキューレ,GSS東京サンビームズ,加藤信也,金子健一郎,3,0,3,Win,72,Away,129,44,6,34.1,14.67,4,0,1,0.0,2,0.67,56,1,6,21,11.2,71,49.0,0.0,69.0
190,63,16,33.2,15.75,0,0,0,-,3,0.75,93,1,6,53,15.1,74,39.0,0.0,52.7,802,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,群馬銀行グリーンウイングス,プレステージ・インターナショナルアランマーレ,石原昭久,齋藤茉樹,3,1,4,Win,106,Home,186,47,14,25.3,11.75,20,2,4,10.0,7,1.75,83,3,7,34,13.6,87,33.0,0.0,37.9
186,47,14,25.3,11.75,20,2,4,10.0,7,1.75,83,3,7,34,13.6,87,33.0,0.0,37.9,802,2015-11-14,2015,11,14,,いずみ総合運動公園町民体育館,プレステージ・インターナショナルアランマーレ,群馬銀行グリーンウイングス,北原勉,,1,3,4,Lose,106,Away,190,63,16,33.2,15.75,0,0,0,-,3,0.75,93,1,6,53,15.1,74,39.0,0.0,52.7
219,57,24,26.0,11.40,25,6,7,24.0,5,1.00,100,5,5,35,13.2,94,58.0,0.0,61.7,803,2015-11-15,2015,11,15,,いずみ総合運動公園町民体育館,プレステージ・インターナショナルアランマーレ,ブレス浜松,北原勉,,3,2,5,Win,129,Home,186,52,14,28.0,10.40,8,1,1,12.5,15,3.00,108,4,13,33,10.8,93,56.0,0.0,60.2
186,52,14,28.0,10.40,8,1,1,12.5,15,3.00,108,4,13,33,10.8,93,56.0,0.0,60.2,803,2015-11-15,2015,11,15,,いずみ総合運動公園町民体育館,ブレス浜松,プレステージ・インターナショナルアランマーレ,藤原道生,堀千裕,2,3,5,Lose,129,Away,219,57,24,26.0,11.40,25,6,7,24.0,5,1.00,100,5,5,35,13.2,94,58.0,0.0,61.7
220,75,10,34.1,15.00,0,0,0,-,9,1.80,107,10,2,45,18.4,105,82.0,0.0,78.1,804,2015-11-15,2015,11,15,,いずみ総合運動公園町民体育館,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,齋藤茉樹,3,2,5,Win,123,Home,207,81,7,39.1,16.20,0,0,0,-,10,2.00,109,3,3,21,7.2,103,50.0,0.0,48.5
207,81,7,39.1,16.20,0,0,0,-,10,2.00,109,3,3,21,7.2,103,50.0,0.0,48.5,804,2015-11-15,2015,11,15,,いずみ総合運動公園町民体育館,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,加藤信也,金子健一郎,2,3,5,Lose,123,Away,220,75,10,34.1,15.00,0,0,0,-,9,1.80,107,10,2,45,18.4,105,82.0,0.0,78.1
177,50,17,28.2,12.50,18,4,7,22.2,5,1.25,82,0,6,27,8.2,91,30.0,0.0,33.0,805,2015-11-21,2015,11,21,,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,GSS東京サンビームズ,北原勉,,1,3,4,Lose,109,Home,178,60,13,33.7,15.00,11,3,1,27.3,7,1.75,97,5,6,56,18.6,76,49.0,0.0,64.5
178,60,13,33.7,15.00,11,3,1,27.3,7,1.75,97,5,6,56,18.6,76,49.0,0.0,64.5,805,2015-11-21,2015,11,21,,酒田市国体記念体育館,GSS東京サンビームズ,プレステージ・インターナショナルアランマーレ,笛木彰,,3,1,4,Win,109,Away,177,50,17,28.2,12.50,18,4,7,22.2,5,1.25,82,0,6,27,8.2,91,30.0,0.0,33.0
