背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,奥平 祐介,3,□,,□,,□,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-
3,,明石 良介,1,■,,,,,4,0,1,0.0,-,0,0,0,-,1,1.00,4,0,0,2,12.5,0,0.0,0.0,-
4,,今田 善仁,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,田畑 翔伍,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,L,藤島 謙裕,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,松本 永志,5,■,■,■,■,■,52,19,9,36.5,3.80,18,5,5,27.8,2,0.40,13,0,3,1,1.9,1,1.0,0.0,100.0
11,,塩 大地,5,■,■,■,■,■,17,2,1,11.8,0.40,0,0,0,-,2,0.40,13,0,0,0,0.0,1,1.0,0.0,100.0
12,,佐々木 剛,5,□,■,■,■,■,6,3,0,50.0,0.60,0,0,0,-,1,0.20,25,0,1,11,11.0,18,7.0,0.0,38.9
13,L,山下 栄和,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,28,24.0,0.0,85.7
16,,中西 優介,4,,□,□,□,□,0,0,0,-,-,0,0,0,-,0,-,5,0,0,0,0.0,10,6.0,0.0,60.0
17,,本多 尚也,5,■,■,■,■,■,17,11,2,64.7,2.20,1,0,1,0.0,1,0.20,15,0,2,3,5.0,29,21.0,0.0,72.4
19,,橋本 峻介,5,■,■,■,■,■,19,9,1,47.4,1.80,0,0,0,-,3,0.60,17,0,0,1,1.5,0,0.0,0.0,-
20,,毛利 光生,5,■,■,■,■,■,9,5,2,55.6,1.00,2,1,1,50.0,0,-,21,2,2,4,12.4,0,0.0,0.0,-
24,,森田 有智夢,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,124,49,16,39.5,9.80,21,6,7,28.6,10,2.00,117,2,9,22,6.1,87,60.0,0.0,69.0
