チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),その他ミス
PFUブルーキャッツ,森田,0,0,0,0,,,0,41,82,47,2
PFUブルーキャッツ,渡邊,8,1,0,9,11.1,11.1,0,0,0,0,0
PFUブルーキャッツ,瀬戸,1,0,0,1,0.0,0.0,0,0,0,0,0
PFUブルーキャッツ,田原,7,3,0,10,30.0,30.0,0,2,0,0,3
PFUブルーキャッツ,綿引,40,24,2,66,36.4,33.3,9,5,5,2,1
PFUブルーキャッツ,鍋谷,86,72,6,164,43.9,40.2,1,73,78,34,1
PFUブルーキャッツ,鏡原,0,0,0,0,,,0,0,1,0,0
PFUブルーキャッツ,高相,46,30,6,82,36.6,29.3,0,35,53,27,1
デンソーエアリービーズ,アコスタ,76,49,5,130,37.7,33.8,0,18,40,15,0
デンソーエアリービーズ,ブンダサック,8,5,0,13,38.5,38.5,0,1,2,3,1
デンソーエアリービーズ,中元,123,74,14,211,35.1,28.4,2,59,92,54,3
デンソーエアリービーズ,佐藤,0,0,1,1,0.0,-100.0,0,0,0,0,0
デンソーエアリービーズ,兵頭,134,90,7,231,39.0,35.9,0,50,71,44,0
デンソーエアリービーズ,小口,0,0,0,0,,,0,7,16,5,0
デンソーエアリービーズ,工藤,172,88,20,280,31.4,24.3,4,12,26,9,1
デンソーエアリービーズ,東谷,13,14,2,29,48.3,41.4,0,5,2,0,0
デンソーエアリービーズ,松井,11,9,0,20,45.0,45.0,2,1,0,0,11
デンソーエアリービーズ,森谷,48,32,2,82,39.0,36.6,5,2,19,4,0
デンソーエアリービーズ,横田,78,63,6,147,42.9,38.8,5,3,17,4,1
デンソーエアリービーズ,福留,0,0,0,0,,,0,55,89,59,1
デンソーエアリービーズ,麻野,1,1,0,2,50.0,50.0,0,0,1,1,0
トヨタ車体クインシーズ,ケルシー,146,115,20,281,40.9,33.8,4,40,86,34,4
トヨタ車体クインシーズ,ハッタヤ,58,43,0,101,42.6,42.6,7,3,3,1,3
トヨタ車体クインシーズ,中屋,62,25,7,94,26.6,19.1,1,0,0,0,0
トヨタ車体クインシーズ,加地,1,0,0,1,0.0,0.0,0,1,0,0,4
トヨタ車体クインシーズ,周田,27,11,4,42,26.2,16.7,1,0,2,0,0
トヨタ車体クインシーズ,大川,18,6,5,29,20.7,3.4,0,3,2,2,0
トヨタ車体クインシーズ,安井,0,0,0,0,,,0,49,90,37,1
トヨタ車体クインシーズ,小出,0,0,0,0,,,0,16,15,8,0
トヨタ車体クインシーズ,山上,8,1,0,9,11.1,11.1,2,1,0,0,13
トヨタ車体クインシーズ,山形,0,0,0,0,,,0,1,0,0,3
トヨタ車体クインシーズ,杉原,17,17,2,36,47.2,41.7,2,0,2,0,0
トヨタ車体クインシーズ,松本,21,6,2,29,20.7,13.8,2,2,1,0,0
トヨタ車体クインシーズ,熊井,0,0,0,0,,,0,15,19,7,0
トヨタ車体クインシーズ,稲葉,10,5,1,16,31.2,25.0,0,1,1,1,0
トヨタ車体クインシーズ,舟根,0,0,0,0,,,0,1,1,1,0
トヨタ車体クインシーズ,藪田,138,81,14,233,34.8,28.8,2,41,75,44,4
トヨタ車体クインシーズ,鴫原,21,10,0,31,32.3,32.3,0,24,42,22,1
トヨタ車体クインシーズ,黒須,101,50,19,170,29.4,18.2,0,66,50,33,1
久光スプリングス,アキンラデウォ,44,56,5,105,53.3,48.6,7,0,3,0,3
久光スプリングス,中川,96,46,1,143,32.2,31.5,2,39,76,32,0
久光スプリングス,井上(愛),98,72,10,180,40.0,34.4,0,36,52,30,1
久光スプリングス,井上(美),0,1,0,1,100.0,100.0,0,0,0,0,3
久光スプリングス,今村,55,35,9,99,35.4,26.3,1,29,49,18,3
久光スプリングス,加藤,25,12,2,39,30.8,25.6,0,16,15,10,0
久光スプリングス,大竹,31,31,4,66,47.0,40.9,2,5,4,6,0
久光スプリングス,平山,5,6,0,11,54.5,54.5,0,1,1,0,0
久光スプリングス,戸江,0,0,0,0,,,0,28,69,33,1
久光スプリングス,栄,0,1,0,1,100.0,100.0,1,1,0,0,4
久光スプリングス,池谷,0,0,0,0,,,0,7,5,3,0
久光スプリングス,濱松,30,44,3,77,57.1,53.2,1,2,7,0,0
久光スプリングス,白澤,40,30,5,75,40.0,33.3,1,8,14,6,0
久光スプリングス,石井,74,35,7,116,30.2,24.1,1,37,66,44,0
久光スプリングス,野本,63,36,8,107,33.6,26.2,3,19,12,14,0
久光スプリングス,長岡,17,8,2,27,29.6,22.2,0,1,0,0,0
埼玉上尾メディックス,サンティアゴ,65,73,3,141,51.8,49.6,9,2,3,1,0
埼玉上尾メディックス,ロレンネ,129,81,15,225,36.0,29.3,0,0,0,0,2
埼玉上尾メディックス,仁井田,0,0,0,0,,,0,2,2,1,0
埼玉上尾メディックス,佐藤,122,96,6,224,42.9,40.2,2,83,58,55,0
埼玉上尾メディックス,内瀬戸,161,97,11,269,36.1,32.0,2,59,151,48,1
埼玉上尾メディックス,山口,44,33,4,81,40.7,35.8,0,1,0,1,0
埼玉上尾メディックス,山岸,0,0,0,0,,,0,52,141,56,1
埼玉上尾メディックス,山崎,7,5,0,12,41.7,41.7,4,0,0,0,6
埼玉上尾メディックス,岩澤,0,0,0,0,,,0,4,15,6,0
埼玉上尾メディックス,椎名,30,13,5,48,27.1,16.7,0,13,21,10,0
埼玉上尾メディックス,権田,1,3,0,4,75.0,75.0,0,0,0,0,0
埼玉上尾メディックス,目黒,3,2,2,7,28.6,0.0,0,11,8,3,0
埼玉上尾メディックス,鈴木,2,3,1,6,50.0,33.3,1,0,0,1,0
埼玉上尾メディックス,鎌田,2,3,0,5,60.0,60.0,0,0,0,0,3
埼玉上尾メディックス,青柳,81,51,7,139,36.7,31.7,5,2,7,3,1
岡山シーガルズ,中本,54,26,7,87,29.9,21.8,0,21,40,19,0
岡山シーガルズ,付,31,21,4,56,37.5,30.4,2,3,1,2,1
岡山シーガルズ,佐藤,71,33,8,112,29.5,22.3,4,24,42,14,0
岡山シーガルズ,前田,24,12,2,38,31.6,26.3,0,7,4,3,1
岡山シーガルズ,及川,52,30,2,84,35.7,33.3,3,8,16,2,2
岡山シーガルズ,吉岡,132,72,5,209,34.4,32.1,2,54,66,31,0
岡山シーガルズ,城戸,0,0,0,0,,,0,0,2,3,0
岡山シーガルズ,宇賀神,0,0,0,0,,,0,0,0,0,1
岡山シーガルズ,宮下,4,0,0,4,0.0,0.0,0,1,0,0,10
岡山シーガルズ,小野寺,2,0,0,2,0.0,0.0,0,1,0,0,3
岡山シーガルズ,川島,41,25,3,69,36.2,31.9,3,4,10,2,0
岡山シーガルズ,楢崎,0,0,0,0,,,0,27,47,15,0
岡山シーガルズ,田口,14,2,1,17,11.8,5.9,1,0,1,0,0
岡山シーガルズ,船田,0,0,0,0,,,0,33,33,21,0
岡山シーガルズ,遠藤,44,32,5,81,39.5,33.3,1,23,25,15,0
