チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,サーブ,ノータッチエース,サービスエース,サーブミス,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),失敗かつブレイク,優かつブレイク,良かつブレイク,ブレイク,失敗かつ被サイドアウト,優かつ被サイドアウト,良かつ被サイドアウト,被サイドアウト,その他ミス
岡山シーガルズ,宇賀神,0,0,0,0,,,2,32,0,0,0,2.0,20.0,10.0,1.0,5.0,4.0,10.0,1.0,15.0,6.0,22.0,0.0
岡山シーガルズ,宮下,0,0,0,0,,,2,126,0,3,0,35.0,60.0,31.0,14.0,22.0,11.0,47.0,21.0,38.0,20.0,79.0,3.0
岡山シーガルズ,小野寺,2,0,0,2,0.0,0.0,0,47,0,0,1,8.0,25.0,14.0,4.0,6.0,3.0,13.0,4.0,19.0,11.0,34.0,5.0
岡山シーガルズ,川島,11,10,0,21,47.6,47.6,4,91,1,3,10,25.0,44.0,22.0,12.0,16.0,7.0,35.0,13.0,28.0,15.0,56.0,2.0
岡山シーガルズ,楢崎,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,1.0
岡山シーガルズ,田口,4,1,0,5,20.0,20.0,1,27,0,0,0,7.0,15.0,5.0,3.0,4.0,2.0,9.0,4.0,11.0,3.0,18.0,0.0
岡山シーガルズ,船田,0,0,0,0,,,0,4,0,0,0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0
岡山シーガルズ,遠藤,30,13,1,44,29.5,27.3,2,51,1,0,6,12.0,24.0,15.0,7.0,8.0,5.0,20.0,5.0,16.0,10.0,31.0,2.0
岡山シーガルズ,金田,96,50,7,153,32.7,28.1,3,117,0,2,3,23.0,70.0,24.0,8.0,16.0,7.0,31.0,15.0,52.0,17.0,84.0,3.0
岡山シーガルズ,長瀬,22,12,0,34,35.3,35.3,13,107,0,1,4,15.0,63.0,29.0,4.0,19.0,12.0,35.0,11.0,44.0,17.0,72.0,0.0
岡山シーガルズ,高柳(有),57,18,5,80,22.5,16.2,1,72,0,2,4,18.0,40.0,14.0,9.0,9.0,4.0,22.0,9.0,31.0,10.0,50.0,0.0
日立Astemoリヴァーレ,オクム大庭,55,40,10,105,38.1,28.6,3,61,0,1,13,19.0,22.0,20.0,9.0,6.0,7.0,22.0,10.0,16.0,13.0,39.0,2.0
日立Astemoリヴァーレ,タップ,26,22,6,54,40.7,29.6,12,120,1,4,5,44.0,45.0,32.0,13.0,13.0,8.0,34.0,31.0,32.0,23.0,86.0,11.0
日立Astemoリヴァーレ,上坂,123,59,17,199,29.6,21.1,15,195,2,10,18,74.0,75.0,46.0,33.0,27.0,14.0,74.0,41.0,48.0,32.0,121.0,6.0
日立Astemoリヴァーレ,上沢,0,0,0,0,,,0,8,0,0,2,2.0,5.0,1.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,4.0,0.0
日立Astemoリヴァーレ,中村,2,0,0,2,0.0,0.0,0,1,0,0,1,,,,,,,,,,,,0.0
日立Astemoリヴァーレ,入澤,5,6,2,13,46.2,30.8,6,27,0,1,3,14.0,4.0,9.0,3.0,1.0,2.0,6.0,11.0,3.0,7.0,21.0,2.0
日立Astemoリヴァーレ,境,2,2,0,4,50.0,50.0,1,145,2,2,5,30.0,80.0,35.0,20.0,32.0,10.0,62.0,10.0,48.0,25.0,83.0,6.0
日立Astemoリヴァーレ,室岡,83,36,9,128,28.1,21.1,6,131,1,3,4,29.0,69.0,33.0,13.0,27.0,12.0,52.0,16.0,41.0,21.0,78.0,0.0
日立Astemoリヴァーレ,渡邊,16,13,0,29,44.8,44.8,11,160,0,8,8,59.0,68.0,33.0,19.0,14.0,13.0,46.0,40.0,54.0,20.0,114.0,0.0
日立Astemoリヴァーレ,野中,1,1,0,2,50.0,50.0,0,38,0,0,5,12.0,13.0,13.0,4.0,4.0,5.0,13.0,8.0,9.0,8.0,25.0,0.0
日立Astemoリヴァーレ,長内,108,58,8,174,33.3,28.7,6,130,4,6,28,45.0,59.0,26.0,23.0,20.0,7.0,50.0,22.0,39.0,19.0,80.0,0.0
日立Astemoリヴァーレ,雑賀,1,2,1,4,50.0,25.0,2,68,1,1,3,22.0,29.0,17.0,11.0,12.0,4.0,27.0,11.0,17.0,13.0,41.0,4.0
日立Astemoリヴァーレ,齋藤,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,2.0
