No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
2,,須貝祐介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
3,,池田颯太,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
4,,中村竜輔,4,■,■,■,■,,7,4,0,57.1,1.00,0,0,0,-,3,0.75,10,0,1,0,-2.5,1,1.0,0.0,100.0,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
5,,笠利真吾,4,■,■,■,■,,19,6,2,31.6,1.50,2,1,0,50.0,2,0.50,10,0,0,2,5.0,26,6.0,5.0,32.7,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
6,,伊藤樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
7,,戸嵜嵩大,4,■,■,■,■,,27,12,3,44.4,3.00,10,5,2,50.0,1,0.25,11,0,3,3,0.0,31,11.0,8.0,48.4,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
8,,河東祐大,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,2,0.50,13,0,0,3,5.8,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
9,,池田幸太,1,,,□,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
10,,ヌルムルキリヴァン,4,■,■,■,■,,42,21,4,50.0,5.25,16,8,1,50.0,0,-,14,1,3,3,7.1,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
13,,椿芽久,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
14,,矢貫龍馬,1,,,□,,,3,1,0,33.3,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
15,,波佐間泰平,2,,□,,□,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
16,,森崎健史,4,■,■,■,■,,9,5,1,55.6,1.25,0,0,0,-,2,0.50,22,0,6,8,2.3,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
22,L,角雅也,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,12.0,1.0,65.8,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,VC長野トライデンツ,東レアローズ,松本隆義,宮澤武吉,1,3,4,Lose,82,93,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Home
1,,富松崇彰,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
2,,高橋健太郎,4,■,■,■,■,,11,9,0,81.8,2.25,0,0,0,-,2,0.50,14,1,1,1,7.1,1,0.0,0.0,0.0,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
3,L,山口拓海,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,27,16.0,8.0,74.1,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
4,,パダルクリスティアン,4,■,■,■,■,,31,13,3,41.9,3.25,11,4,1,36.4,3,0.75,16,3,1,10,32.8,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
5,,米山裕太,2,■,■,,,,8,3,1,37.5,1.50,5,3,0,60.0,1,0.50,3,0,0,0,0.0,3,3.0,0.0,100.0,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
6,,手塚大,4,□,□,■,■,,14,8,1,57.1,2.00,4,3,0,75.0,1,0.25,7,0,3,2,-3.6,7,3.0,0.0,42.9,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
7,,峯村雄大,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
9,,富田将馬,4,■,■,■,■,,25,13,0,52.0,3.25,7,5,0,71.4,2,0.50,18,1,3,5,8.3,28,11.0,8.0,53.6,101,2021-10-15,2021,10,15,長野県,松本市総合体育館,東レアローズ,VC長野トライデンツ,篠田歩,阿部裕太,3,1,4,Win,93,82,102,19:30,21:28,851,利根川忠史,中山健,慈眼雅啓,嶋田和明,Away
