背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,山口 功太郎,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
3,,田城 貴之,3,■,■,■,,,5,3,1,60.0,1.00,0,0,0,-,1,0.33,9,0,3,3,0.0,0,0.0,0.0,-
4,,古田 史郎,3,■,■,■,,,16,10,0,62.5,3.33,3,1,0,33.3,6,2.00,13,2,5,4,13.5,0,0.0,0.0,-
5,,家近 滉一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
6,,中村 修平,3,■,■,■,,,4,2,0,50.0,0.67,0,0,0,-,0,-,23,2,2,11,18.5,0,0.0,0.0,-
7,,関根 俊哉,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,野坂 尚哉,2,,□,□,,,1,1,0,100.0,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,加藤 伊織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,L,白石 啓丈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,10.0,0.0,76.9
11,L,藤村 昇太,1,,,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,山本 大希,1,,,□,,,1,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,3,1.0,1.0,50.0
16,,杉谷 祐磨,3,■,■,■,,,11,2,1,18.2,0.67,2,0,1,0.0,0,-,11,3,1,3,31.8,10,6.0,0.0,60.0
18,,倉内 哲,3,■,■,■,,,7,5,0,71.4,1.67,0,0,0,-,2,0.67,7,0,0,3,10.7,0,0.0,0.0,-
19,,陳 建禎,3,■,■,■,,,13,9,0,69.2,3.00,2,2,0,100.0,5,1.67,11,1,3,3,9.1,11,9.0,0.0,81.8
チーム合計,チーム合計,チーム合計,3,,,,,,58,32,2,55.2,10.67,7,3,1,42.9,14,4.67,74,8,14,27,15.2,37,26.0,1.0,71.6
