,No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%
1,1,,山田 脩造,4,■,■,■,■,,9,2,1,22.2,0.50,0,0,0,-,0,-,14,0,3,6,5.4,16,5.0,6.0,50.0
2,2,,山近 哲,4,■,■,■,■,,6,1,0,16.7,0.25,0,0,0,-,0,-,6,0,1,1,0.0,0,0.0,0.0,-
3,3,,クレク バルトシュ,4,■,■,■,■,,47,24,4,51.1,6.00,13,8,1,61.5,1,0.25,12,0,5,2,-6.2,1,0.0,0.0,0.0
4,5,,前田 一誠,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,2,0.50,15,0,2,4,3.3,1,0.0,0.0,0.0
5,6,,近 裕崇,4,■,■,■,■,,10,7,0,70.0,1.75,0,0,0,-,1,0.25,14,1,1,2,8.9,1,1.0,0.0,100.0
6,7,,白岩 直也,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0
7,9,,ユン ボンウ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,11,,傳田 亮太,1,,,,□,,1,1,0,100.0,1.00,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-
9,14,,椿山 竜介,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-
10,21,,永露 元稀,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,1,1,0,25.0,0,0.0,0.0,-
11,22,,高梨 健太,4,■,■,■,■,,34,18,1,52.9,4.50,0,0,0,-,2,0.50,11,0,2,2,0.0,29,8.0,5.0,36.2
12,23,,勝岡 将斗,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-
13,24,L,小川 智大,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,10.0,5.0,73.5
14,26,,山崎 彰都,1,,,,□,,5,1,1,20.0,1.00,0,0,0,-,0,-,3,0,1,1,0.0,9,3.0,4.0,55.6
15,チーム合計,チーム合計,チーム合計,4,,,,,,112,54,7,48.2,13.50,13,8,1,61.5,6,1.50,84,2,17,21,3.6,75,27.0,20.0,49.3
