背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,渡邊 絢子,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,7,2.0,0.0,28.6
2,,杉山 祥子,3,■,■,■,,,11,2,0,18.2,0.67,0,0,0,-,0,-,10,1,0,5,20.5,0,0.0,0.0,-
3,,内藤 香菜子,3,■,■,■,,,19,2,0,10.5,0.67,0,0,0,-,1,0.33,9,1,0,3,17.2,0,0.0,0.0,-
5,,フォフィーニャ アナパウラ,3,■,■,■,,,49,18,1,36.7,6.00,5,2,0,40.0,0,-,9,0,1,2,5.6,25,15.0,0.0,60.0
6,,有田 沙織,2,■,■,,,,6,3,1,50.0,1.50,2,1,1,50.0,1,0.50,5,0,0,2,10.0,2,1.0,0.0,50.0
8,,秋山 美幸,3,■,■,■,,,0,0,0,-,-,0,0,0,-,1,0.33,11,0,2,1,2.3,0,0.0,0.0,-
9,,内田 暁子,2,■,■,,,,10,3,3,30.0,1.50,0,0,0,-,0,-,2,0,0,2,25.0,8,2.0,0.0,25.0
10,L,井野 亜季子,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,11.0,0.0,91.7
12,,安藤 典莉子,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
15,L,竹内 沙耶歌,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,澁澤 夏美,2,,□,■,,,12,4,1,33.3,2.00,2,0,0,0.0,0,-,4,0,1,0,0.0,1,0.0,0.0,0.0
18,,滝口 奈美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,松浦 寛子,3,□,□,■,,,9,4,0,44.4,1.33,0,0,0,-,0,-,6,0,1,0,0.0,7,0.0,0.0,0.0
20,,八幡 美樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,116,36,6,31.0,12.00,9,3,1,33.3,3,1.00,60,2,5,15,8.9,62,31.0,0.0,50.0
