背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,井上 奈々朱,1,■,,,,,4,2,1,50.0,2.00,0,0,0,-,0,-,3,0,1,1,0.0,0,0.0,0.0,-
2,,堀川 真理,4,■,■,■,■,,28,16,1,57.1,4.00,3,1,0,33.3,1,0.25,13,0,2,4,3.8,15,5.0,3.0,43.3
3,,大野 果歩,4,■,■,■,■,,12,5,1,41.7,1.25,0,0,0,-,2,0.50,6,0,1,1,0.0,0,0.0,0.0,-
4,,日高 萌,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,クラン ヤナ,4,■,■,■,■,,44,21,1,47.7,5.25,4,1,1,25.0,1,0.25,18,2,3,7,16.7,16,6.0,6.0,56.2
8,,白井 美沙紀,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,中田 紫乃,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,4,2.0,1.0,62.5
11,,中島 未来,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,7,0,0,2,7.1,5,2.0,1.0,50.0
12,,小川 愛里奈,3,,■,■,■,,13,4,1,30.8,1.33,0,0,0,-,0,-,13,1,2,2,7.7,1,1.0,0.0,100.0
14,,関 菜々巳,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,2,0.50,19,4,2,12,34.2,0,0.0,0.0,-
15,L,水杉 玲奈,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,9.0,2.0,66.7
17,,石川 真佑,4,■,■,■,■,,28,14,2,50.0,3.50,1,1,0,100.0,2,0.50,13,1,4,4,7.7,16,6.0,3.0,46.9
18,,野呂 加南子,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,2,0.0,2.0,50.0
19,,大崎 琴未,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,129,62,7,48.1,15.50,8,3,1,37.5,8,2.00,97,8,15,34,13.1,74,31.0,18.0,54.1
