AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
82,34,9,41.5,11.33,24,7,5,29.2,3,1.00,55,2,11,12,4.1,64,28.0,10.0,51.6,108,2021-10-17,2021,10,17,大阪府,日本製鉄堺体育館,大分三好ヴァイセアドラー,堺ブレイザーズ,ﾑﾚｲﾎﾟｰﾙ,安田将利,0,3,3,Lose,54,75,79,13:00,14:25,345,田野昭彦,山本晋五,浜野陽一,和佐田信行,Away,71,39,5,54.9,13.00,15,9,2,60.0,10,3.33,74,3,9,24,9.1,44,22.0,10.0,61.4
138,67,9,48.6,13.40,30,15,1,50.0,4,0.80,110,5,27,28,4.8,80,26.0,29.0,50.6,107,2021-10-16,2021,10,16,大阪府,第一総合運動場,サントリーサンバーズ,FC東京,山村宏太,米山達也,3,2,5,Win,110,107,142,13:00,15:41,535,酒出 修,村中 伸,岡田 崇,永江 雅之,Home,118,51,11,43.2,10.20,20,9,2,45.0,8,1.60,107,6,22,25,6.3,79,30.0,21.0,51.3
118,51,11,43.2,10.20,20,9,2,45.0,8,1.60,107,6,22,25,6.3,79,30.0,21.0,51.3,107,2021-10-16,2021,10,16,大阪府,第一総合運動場,FC東京,サントリーサンバーズ,真保綱一郎,橘裕也,2,3,5,Lose,107,110,142,13:00,15:41,535,酒出 修,村中 伸,岡田 崇,永江 雅之,Away,138,67,9,48.6,13.40,30,15,1,50.0,4,0.80,110,5,27,28,4.8,80,26.0,29.0,50.6
133,72,8,54.1,14.40,26,16,2,61.5,7,1.40,115,4,25,38,6.3,87,21.0,31.0,42.0,110,2021-10-17,2021,10,17,大阪府,第一総合運動場,サントリーサンバーズ,FC東京,山村宏太,米山達也,3,2,5,Win,115,109,147,13:00,15:46,610,酒出 修,西中野 健,岡田 崇,澁谷 敦弘,Home,128,59,9,46.1,11.80,25,13,2,52.0,11,2.20,109,4,20,35,7.1,88,25.0,25.0,42.6
128,59,9,46.1,11.80,25,13,2,52.0,11,2.20,109,4,20,35,7.1,88,25.0,25.0,42.6,110,2021-10-17,2021,10,17,大阪府,第一総合運動場,FC東京,サントリーサンバーズ,真保綱一郎,橘裕也,2,3,5,Lose,109,115,147,13:00,15:46,610,酒出 修,西中野 健,岡田 崇,澁谷 敦弘,Away,133,72,8,54.1,14.40,26,16,2,61.5,7,1.40,115,4,25,38,6.3,87,21.0,31.0,42.0
113,59,6,52.2,11.80,16,10,1,62.5,7,1.40,112,5,11,33,9.4,84,32.0,13.0,45.8,106,2021-10-16,2021,10,16,大阪府,パナソニックアリーナ,パナソニックパンサーズ,ウルフドッグス名古屋,ﾃｨﾘﾛﾗﾝ,ｳﾞｨﾝｾﾝﾄﾋﾟｼｪｯﾄ,2,3,5,Lose,112,112,148,14:11,16:51,1606,伊藤博之,浅井唯由,新田浩幸,安田悠司,Home,131,69,9,52.7,13.80,30,15,3,50.0,12,2.40,112,8,25,39,10.3,100,50.0,17.0,58.5
131,69,9,52.7,13.80,30,15,3,50.0,12,2.40,112,8,25,39,10.3,100,50.0,17.0,58.5,106,2021-10-16,2021,10,16,大阪府,パナソニックアリーナ,ウルフドッグス名古屋,パナソニックパンサーズ,ｸﾘｽﾏｸｶﾞｳﾝ,深津貴之,3,2,5,Win,112,112,148,14:11,16:51,1606,伊藤博之,浅井唯由,新田浩幸,安田悠司,Away,113,59,6,52.2,11.80,16,10,1,62.5,7,1.40,112,5,11,33,9.4,84,32.0,13.0,45.8
103,55,7,53.4,13.75,14,4,1,28.6,8,2.00,96,2,9,24,6.0,60,29.0,18.0,63.3,109,2021-10-17,2021,10,17,大阪府,パナソニックアリーナ,パナソニックパンサーズ,ウルフドッグス名古屋,ﾃｨﾘﾛﾗﾝ,ｳﾞｨﾝｾﾝﾄﾋﾟｼｪｯﾄ,3,1,4,Win,97,78,104,14:00,15:53,1420,伊藤博之,山本和良,新田浩幸,田中清,Home,99,54,10,54.5,13.50,19,11,2,57.9,5,1.25,79,2,17,13,1.3,86,35.0,27.0,56.4
99,54,10,54.5,13.50,19,11,2,57.9,5,1.25,79,2,17,13,1.3,86,35.0,27.0,56.4,109,2021-10-17,2021,10,17,大阪府,パナソニックアリーナ,ウルフドッグス名古屋,パナソニックパンサーズ,ｸﾘｽﾏｸｶﾞｳﾝ,深津貴之,1,3,4,Lose,78,97,104,14:00,15:53,1420,伊藤博之,山本和良,新田浩幸,田中清,Away,103,55,7,53.4,13.75,14,4,1,28.6,8,2.00,96,2,9,24,6.0,60,29.0,18.0,63.3
62,40,3,64.5,13.33,11,7,0,63.6,7,2.33,73,6,13,14,8.6,44,15.0,12.0,47.7,115,2021-10-23,2021,10,23,大阪府,パナソニックアリーナ,ジェイテクトSTINGS,FC東京,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,3,0,3,Win,75,55,76,17:00,18:22,1369,高橋憲太郎,山本和良,冨田博一,和佐田信行,Home,71,26,9,36.6,8.67,16,4,4,25.0,4,1.33,57,4,11,17,9.6,55,24.0,17.0,59.1
71,26,9,36.6,8.67,16,4,4,25.0,4,1.33,57,4,11,17,9.6,55,24.0,17.0,59.1,115,2021-10-23,2021,10,23,大阪府,パナソニックアリーナ,FC東京,ジェイテクトSTINGS,真保綱一郎,橘裕也,0,3,3,Lose,55,75,76,17:00,18:22,1369,高橋憲太郎,山本和良,冨田博一,和佐田信行,Away,62,40,3,64.5,13.33,11,7,0,63.6,7,2.33,73,6,13,14,8.6,44,15.0,12.0,47.7
120,58,7,48.3,11.60,23,11,3,47.8,15,3.00,111,8,19,33,10.4,83,41.0,17.0,59.6,119,2021-10-24,2021,10,24,大阪府,パナソニックアリーナ,ジェイテクトSTINGS,FC東京,ﾌｧｼﾞｬｰﾆﾌｪﾃﾞﾘｺ,酒井大祐,3,2,5,Win,112,103,132,16:00,18:24,1383,髙橋憲太郎,西中野健,山本和良,和佐田信行,Home,137,64,7,46.7,12.80,16,7,5,43.8,7,1.40,104,2,21,25,2.9,88,40.0,15.0,54.0
137,64,7,46.7,12.80,16,7,5,43.8,7,1.40,104,2,21,25,2.9,88,40.0,15.0,54.0,119,2021-10-24,2021,10,24,大阪府,パナソニックアリーナ,FC東京,ジェイテクトSTINGS,真保綱一郎,橘裕也,2,3,5,Lose,103,112,132,16:00,18:24,1383,髙橋憲太郎,西中野健,山本和良,和佐田信行,Away,120,58,7,48.3,11.60,23,11,3,47.8,15,3.00,111,8,19,33,10.4,83,41.0,17.0,59.6
110,56,7,50.9,14.00,32,19,2,59.4,9,2.25,98,5,17,20,5.9,82,32.0,17.0,49.4,116,2021-10-23,2021,10,23,山口県,維新大晃アリーナ,JTサンダーズ広島,サントリーサンバーズ,原秀治,古田博幸,1,3,4,Lose,97,103,121,14:00,16:10,1100,加治健男,千代延靖夫,弘中秀治,藤井達行,Home,117,66,6,56.4,16.50,18,9,1,50.0,4,1.00,102,5,17,31,8.3,78,30.0,26.0,55.1
