背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,藤井 壮浩,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0.0,0.0,-
2,,細川 延由,5,■,■,■,■,■,40,18,5,45.0,3.60,6,3,0,50.0,1,0.20,23,1,4,5,8.9,31,22.0,0.0,71.0
3,L,大森 陽祐,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,34,32.0,0.0,94.1
5,,大関 元樹,5,■,■,■,■,■,14,6,1,42.9,1.20,0,0,0,-,5,1.00,19,1,4,5,11.8,0,0.0,0.0,-
6,,竹内 実,5,■,■,■,■,■,33,12,4,36.4,2.40,6,2,2,33.3,0,-,17,0,1,3,4.4,35,32.0,0.0,91.4
9,,脇戸 新之助,5,■,■,■,■,■,0,0,0,-,-,0,0,0,-,1,0.20,16,0,0,0,0.0,0,0.0,0.0,-
10,,青木 一平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,渡邉 正堂,5,■,■,■,■,■,11,6,0,54.5,1.20,0,0,0,-,5,1.00,18,0,3,3,4.2,0,0.0,0.0,-
12,,奥田 晃,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
14,,鎌田 修,5,■,■,■,■,■,60,28,4,46.7,5.60,16,9,0,56.2,1,0.20,17,1,2,2,8.8,0,0.0,0.0,-
16,,佐藤 宝男,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,足立 和弘,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,5,,,,,,158,70,14,44.3,14.00,28,14,2,50.0,13,2.60,117,3,14,19,6.5,100,86.0,0.0,86.0
