背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,鈴木 千織,2,,■,□,,,3,1,0,33.3,0.50,0,0,0,-,0,-,2,0,0,0,0.0,2,1.0,0.0,50.0
5,,権藤 玲奈,3,■,■,■,,,41,12,5,29.3,4.00,13,0,4,0.0,0,-,7,2,1,2,32.1,1,0.0,0.0,0.0
8,,松尾 妃七菜,3,■,■,■,,,4,1,0,25.0,0.33,0,0,0,-,0,-,5,0,0,2,10.0,0,0.0,0.0,-
9,,廣田 唯,3,■,■,■,,,7,3,0,42.9,1.00,0,0,0,-,2,0.67,4,0,0,1,6.2,1,0.0,0.0,0.0
11,,小川 古都,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,石山 綺里,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,6,1,0,4,33.3,1,1.0,0.0,100.0
14,L,田戸 美咲,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,3.0,2.0,44.4
15,,一森 祐希奈,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-
16,,梅木 瞳,2,■,,■,,,12,1,3,8.3,0.50,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-
18,,浅野 美波,3,■,■,■,,,23,4,5,17.4,1.33,0,0,0,-,1,0.33,7,0,1,2,3.6,47,20.0,10.0,53.2
19,,吉田 伽那,3,■,■,■,,,38,6,4,15.8,2.00,0,0,0,-,0,-,11,0,0,5,11.4,7,2.0,1.0,35.7
チーム合計,チーム合計,チーム合計,3,,,,,,128,28,17,21.9,9.33,13,0,4,0.0,3,1.00,45,3,2,17,15.0,68,27.0,13.0,49.3
