AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
139,50,7,36.0,16.67,5,2,1,40.0,2,0.67,75,3,6,29,13.1,55,34.0,0.0,61.8,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home,137,39,11,28.5,13.00,2,0,0,0.0,3,1.00,60,1,4,21,10.4,67,38.0,0.0,56.7
137,39,11,28.5,13.00,2,0,0,0.0,3,1.00,60,1,4,21,10.4,67,38.0,0.0,56.7,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,ブレス浜松,石原昭久,遠藤孔太,0,3,3,Lose,76,Away,139,50,7,36.0,16.67,5,2,1,40.0,2,0.67,75,3,6,29,13.1,55,34.0,0.0,61.8
162,53,7,32.7,17.67,9,4,2,44.4,2,0.67,73,2,2,39,15.5,54,29.0,0.0,53.7,802,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,大阪スーペリアーズ,笛木彰,久保雅,3,0,3,Win,72,Home,139,38,7,27.3,12.67,12,2,2,16.7,7,2.33,61,1,6,25,11.9,50,26.0,0.0,52.0
139,38,7,27.3,12.67,12,2,2,16.7,7,2.33,61,1,6,25,11.9,50,26.0,0.0,52.0,802,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,大阪スーペリアーズ,GSS東京サンビームズ,藤田卓也,西本正人,0,3,3,Lose,72,Away,162,53,7,32.7,17.67,9,4,2,44.4,2,0.67,73,2,2,39,15.5,54,29.0,0.0,53.7
123,53,2,43.1,17.67,2,1,0,50.0,4,1.33,73,2,7,31,12.8,52,35.0,0.0,67.3,803,2016-11-06,2016,11,06,,サーラグリーンアリーナ（浜北総合体育館）,トヨタ自動車ヴァルキューレ,大阪スーペリアーズ,加藤信也,金子健一郎,3,0,3,Win,66,Home,114,38,8,33.3,12.67,4,1,0,25.0,6,2.00,55,0,3,17,7.7,66,33.0,0.0,50.0
114,38,8,33.3,12.67,4,1,0,25.0,6,2.00,55,0,3,17,7.7,66,33.0,0.0,50.0,803,2016-11-06,2016,11,06,,サーラグリーンアリーナ（浜北総合体育館）,大阪スーペリアーズ,トヨタ自動車ヴァルキューレ,藤田卓也,西本正人,0,3,3,Lose,66,Away,123,53,2,43.1,17.67,2,1,0,50.0,4,1.33,73,2,7,31,12.8,52,35.0,0.0,67.3
147,50,3,34.0,12.50,6,2,1,33.3,7,1.75,93,3,4,39,13.3,70,46.0,0.0,65.7,804,2016-11-06,2016,11,06,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,プレステージ・インターナショナルアランマーレ,藤原道生,相田好美,3,1,4,Win,95,Home,179,64,21,35.8,16.00,7,0,3,0.0,2,0.50,82,4,12,20,10.0,88,47.0,0.0,53.4
179,64,21,35.8,16.00,7,0,3,0.0,2,0.50,82,4,12,20,10.0,88,47.0,0.0,53.4,804,2016-11-06,2016,11,06,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,ブレス浜松,北原勉,小林準,1,3,4,Lose,95,Away,147,50,3,34.0,12.50,6,2,1,33.3,7,1.75,93,3,4,39,13.3,70,46.0,0.0,65.7
198,59,12,29.8,14.75,8,2,2,25.0,3,0.75,88,3,11,38,13.5,86,39.0,0.0,45.3,805,2016-11-19,2016,11,19,,酒田市国体記念体育館,群馬銀行グリーンウイングス,大阪スーペリアーズ,石原昭久,遠藤孔太,3,1,4,Win,101,Home,202,52,15,25.7,13.00,18,3,2,16.7,8,2.00,95,4,7,46,15.9,77,40.0,0.0,51.9
202,52,15,25.7,13.00,18,3,2,16.7,8,2.00,95,4,7,46,15.9,77,40.0,0.0,51.9,805,2016-11-19,2016,11,19,,酒田市国体記念体育館,大阪スーペリアーズ,群馬銀行グリーンウイングス,廣田卓三,西本正人,1,3,4,Lose,101,Away,198,59,12,29.8,14.75,8,2,2,25.0,3,0.75,88,3,11,38,13.5,86,39.0,0.0,45.3
