No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,熊本比奈,1,■,,,,,11,4,2,36.4,4.00,1,0,1,0.0,0,-,3,0,1,1,8.3,6,5.0,0.0,83.3,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
3,,和途綾香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
5,,菅井美貴,3,■,■,■,,,7,3,0,42.9,1.00,0,0,0,-,0,-,7,0,0,6,21.4,0,0.0,0.0,-,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
6,,柴小屋志織,3,■,■,■,,,20,9,0,45.0,3.00,0,0,0,-,2,0.67,10,1,0,3,15.5,1,1.0,0.0,100.0,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
7,L,徳田亜留美,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,11.0,0.0,64.7,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
8,,菅原麻衣,3,■,■,■,,,14,5,0,35.7,1.67,0,0,0,-,0,-,18,1,1,7,14.2,0,0.0,0.0,-,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
9,,山内佑里子,3,■,■,■,,,20,6,1,30.0,2.00,0,0,0,-,0,-,15,1,0,6,16.7,24,14.0,0.0,58.3,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
10,,多田遥,3,■,■,■,,,34,9,3,26.5,3.00,4,2,0,50.0,0,-,13,0,1,5,9.6,7,3.0,0.0,42.9,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
12,,山本莉来,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
13,,大平りさ,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
14,,田中静香,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0.0,0.0,-,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
17,,小野綾華,3,□,■,■,,,33,14,1,42.4,4.67,0,0,0,-,0,-,6,0,2,1,4.2,0,0.0,0.0,-,801,2016-11-05,2016,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,群馬銀行グリーンウイングス,藤原道生,相田好美,3,0,3,Win,76,Home
