背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,富松 崇彰,4,■,■,■,■,,13,9,0,69.2,2.25,0,0,0,-,4,1.00,12,0,0,3,6.2,0,0.0,0.0,-
3,,伏見 大和,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,佐野 翔,4,■,■,■,□,,17,5,0,29.4,1.25,3,1,0,33.3,0,-,14,0,1,4,7.1,12,1.0,0.0,8.3
5,,米山 裕太,3,□,,□,■,,7,1,1,14.3,0.33,0,0,0,-,0,-,7,1,0,3,25.0,8,5.0,0.0,62.5
6,L,渡辺 俊介,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,24,19.0,0.0,79.2
9,,梅野 聡,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,星野 秀知,4,■,■,■,■,,17,5,1,29.4,1.25,0,0,0,-,1,0.25,17,0,4,6,8.8,36,29.0,0.0,80.6
14,,ジョルジェフ ニコラ,4,■,■,■,■,,75,31,5,41.3,7.75,45,18,3,40.0,1,0.25,15,1,4,7,18.3,4,1.0,0.0,25.0
15,,李 博,4,■,■,■,■,,15,8,1,53.3,2.00,0,0,0,-,1,0.25,18,1,1,7,14.2,2,2.0,0.0,100.0
18,,鈴木 悠二,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-
19,L,小宮 雄一郎,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
20,,大木 貴之,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-
21,,藤井 直伸,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,0,-,16,0,2,5,7.8,1,0.0,0.0,0.0
22,,井手 智,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,5.0,0.0,83.3
チーム合計,チーム合計,チーム合計,4,,,,,,146,60,8,41.1,15.00,48,19,3,39.6,7,1.75,104,3,13,37,11.6,93,62.0,0.0,66.7
