背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,白川 佑樹,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,6,1,2,3,25.8,0,0.0,0.0,-
3,,原田 将志,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
4,,川合 翔太,3,■,■,■,,,30,12,3,40.0,4.00,13,5,2,38.5,2,0.67,13,2,3,9,29.6,0,0.0,0.0,-
7,,田中 寛人,2,□,,■,,,4,0,0,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
8,,今村 雄登,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-
9,,竹永 大樹,3,■,■,■,,,26,8,3,30.8,2.67,6,3,2,50.0,0,-,10,1,3,5,20.5,13,7.0,0.0,53.8
10,,奥長 勝之,3,■,■,■,,,16,5,5,31.2,1.67,1,0,1,0.0,0,-,9,0,1,2,5.6,23,13.0,0.0,56.5
12,,横山 雄大,2,,□,□,,,5,4,1,80.0,2.00,0,0,0,-,0,-,3,0,1,0,0.0,12,4.0,0.0,33.3
14,L,田渕 慎一郎,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,6.0,0.0,66.7
15,,吉田 政俊,2,■,■,,,,2,0,0,0.0,-,0,0,0,-,0,-,6,0,1,3,12.5,0,0.0,0.0,-
16,L,村田 峻一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,壇 亮太,3,■,■,■,,,7,3,1,42.9,1.00,0,0,0,-,0,-,7,1,2,3,22.1,0,0.0,0.0,-
18,,片ノ坂 亮太,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0.0,0.0,-
20,,石原 貢,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,90,32,13,35.6,10.67,20,8,5,40.0,2,0.67,63,5,14,27,17.1,57,30.0,0.0,52.6
