No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,高橋潤子,3,■,■,■,,,39,13,5,33.3,4.33,5,2,0,40.0,1,0.33,8,1,3,2,18.8,1,0.0,0.0,0.0,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
2,,浦辺真希,3,□,■,■,,,8,5,0,62.5,1.67,1,0,0,0.0,2,0.67,12,2,1,5,23.8,31,12.0,0.0,38.7,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
3,L,大槻めぐみ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,9.0,0.0,40.9,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
4,,内藤絵莉香,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,10,0,2,3,7.5,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
5,,彦坂香奈,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
6,,木村雅世,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
7,,仁里奈那美,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,1,5.0,3,2.0,0.0,66.7,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
8,,笠松真梨奈,3,■,■,■,,,24,10,0,41.7,3.33,0,0,0,-,1,0.33,6,0,0,5,20.8,4,0.0,0.0,0.0,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
9,,平山麻里,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
10,,上村麻衣,3,■,■,■,,,12,4,1,33.3,1.33,0,0,0,-,1,0.33,11,0,2,6,13.6,0,0.0,0.0,-,702,2009-11-28,2009,11,28,,柏市中央体育館,四国Eighty8Queen,健祥会レッドハーツ,米田一典,米田隼人,0,3,3,Lose,70,Home
