AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
194,54,16,27.8,13.50,25,3,5,12.0,3,0.75,87,2,4,23,7.8,82,42.0,15.0,60.4,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home,195,59,13,30.3,14.75,6,0,2,0.0,5,1.25,90,5,8,25,10.3,83,48.0,12.0,65.1
195,59,13,30.3,14.75,6,0,2,0.0,5,1.25,90,5,8,25,10.3,83,48.0,12.0,65.1,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away,194,54,16,27.8,13.50,25,3,5,12.0,3,0.75,87,2,4,23,7.8,82,42.0,15.0,60.4
109,46,7,42.2,15.33,0,0,0,-,4,1.33,73,7,9,22,14.0,61,21.0,13.0,45.1,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home,99,32,13,32.3,10.67,3,0,2,0.0,5,1.67,64,5,2,27,17.6,60,24.0,14.0,51.7
99,32,13,32.3,10.67,3,0,2,0.0,5,1.67,64,5,2,27,17.6,60,24.0,14.0,51.7,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away,109,46,7,42.2,15.33,0,0,0,-,4,1.33,73,7,9,22,14.0,61,21.0,13.0,45.1
115,33,6,28.7,11.00,2,1,0,50.0,11,3.67,74,3,4,26,11.5,52,27.0,11.0,62.5,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,岩下忠正,吉川三博,3,0,3,Win,72,Home,141,43,11,30.5,14.33,6,1,0,16.7,4,1.33,64,2,11,13,3.9,69,25.0,15.0,47.1
141,43,11,30.5,14.33,6,1,0,16.7,4,1.33,64,2,11,13,3.9,69,25.0,15.0,47.1,803,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,小林準,0,3,3,Lose,72,Away,115,33,6,28.7,11.00,2,1,0,50.0,11,3.67,74,3,4,26,11.5,52,27.0,11.0,62.5
190,70,9,36.8,17.50,17,5,0,29.4,5,1.25,97,3,5,34,10.6,86,43.0,16.0,59.3,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,GSS東京サンビームズ,藤原道生,相田好美,3,1,4,Win,110,Home,172,62,9,36.0,15.50,6,1,0,16.7,6,1.50,90,3,3,25,9.4,90,43.0,12.0,54.4
172,62,9,36.0,15.50,6,1,0,16.7,6,1.50,90,3,3,25,9.4,90,43.0,12.0,54.4,804,2017-11-05,2017,11,05,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,ブレス浜松,笛木彰,山口弥緒,1,3,4,Lose,110,Away,190,70,9,36.8,17.50,17,5,0,29.4,5,1.25,97,3,5,34,10.6,86,43.0,16.0,59.3
118,39,8,33.1,13.00,2,0,0,0.0,4,1.33,73,8,5,25,17.8,43,17.0,14.0,55.8,809,2017-11-18,2017,11,18,,酒田市国体記念体育館,群馬銀行グリーンウイングス,大阪スーペリアーズ,石原昭久,遠藤孔太,3,0,3,Win,66,Home,117,30,9,25.6,10.00,4,1,1,25.0,4,1.33,56,4,9,12,8.5,62,18.0,19.0,44.4
117,30,9,25.6,10.00,4,1,1,25.0,4,1.33,56,4,9,12,8.5,62,18.0,19.0,44.4,809,2017-11-18,2017,11,18,,酒田市国体記念体育館,大阪スーペリアーズ,群馬銀行グリーンウイングス,廣田卓三,邵師,0,3,3,Lose,66,Away,118,39,8,33.1,13.00,2,0,0,0.0,4,1.33,73,8,5,25,17.8,43,17.0,14.0,55.8
180,44,17,24.4,11.00,8,2,0,25.0,5,1.25,74,3,10,24,8.8,90,30.0,33.0,51.7,810,2017-11-18,2017,11,18,,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,ブレス浜松,北原勉,小林準,1,3,4,Lose,91,Home,155,64,12,41.3,16.00,10,6,0,60.0,1,0.25,95,1,4,27,7.1,61,19.0,18.0,45.9
155,64,12,41.3,16.00,10,6,0,60.0,1,0.25,95,1,4,27,7.1,61,19.0,18.0,45.9,810,2017-11-18,2017,11,18,,酒田市国体記念体育館,ブレス浜松,プレステージ・インターナショナルアランマーレ,藤原道生,相田好美,3,1,4,Win,91,Away,180,44,17,24.4,11.00,8,2,0,25.0,5,1.25,74,3,10,24,8.8,90,30.0,33.0,51.7
