No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,熊本比奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
5,,菅井美貴,4,■,■,■,■,,7,1,0,14.3,0.25,0,0,0,-,0,-,12,0,0,1,2.1,2,1.0,0.0,50.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
6,,柴小屋志織,4,■,■,■,■,,26,8,2,30.8,2.00,2,0,0,0.0,1,0.25,13,0,1,4,5.8,1,1.0,0.0,100.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
7,L,徳田亜留美,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,16.0,1.0,75.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
8,,菅原麻衣,4,■,■,■,■,,48,14,5,29.2,3.50,5,0,2,0.0,1,0.25,16,1,0,7,17.2,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
9,,和田法子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
10,,多田遥,4,■,■,■,■,,67,24,4,35.8,6.00,18,3,3,16.7,0,-,13,1,1,5,15.4,15,5.0,4.0,46.7,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
11,,加藤彩夏,4,■,■,■,□,,24,4,3,16.7,1.00,0,0,0,-,1,0.25,11,0,0,2,4.5,12,8.0,0.0,66.7,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
13,,高橋美桜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
15,,小松沙季,4,■,■,■,■,,22,3,2,13.6,0.75,0,0,0,-,0,-,20,0,2,4,2.5,30,11.0,10.0,53.3,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
18,,春田詩織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
20,,澁谷美妃,2,,,□,■,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,ブレス浜松,柏エンゼルクロス,藤原道生,相田好美,1,3,4,Lose,106,Home
1,,鈴木遥,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0.0,1.0,50.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
3,,山本直美,3,,□,■,■,,45,15,5,33.3,5.00,0,0,0,-,0,-,18,2,0,4,16.7,16,5.0,3.0,40.6,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
4,,石川綾菜,2,■,■,,,,10,1,1,10.0,0.50,0,0,0,-,0,-,3,0,1,0,-8.3,5,4.0,0.0,80.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
5,,田中実季,4,■,■,■,■,,58,13,5,22.4,3.25,4,0,2,0.0,1,0.25,15,0,2,8,10.0,7,3.0,1.0,50.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
6,,黒木麻衣,4,■,■,■,■,,4,1,0,25.0,0.25,0,0,0,-,1,0.25,20,2,2,5,13.8,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
8,,末代真歩,4,■,■,■,■,,26,9,1,34.6,2.25,0,0,0,-,2,0.50,9,0,0,2,5.6,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
9,L,高桑裕恵,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
10,,楠木舞美子,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
11,,萩原希,4,■,■,■,■,,26,11,1,42.3,2.75,0,0,0,-,0,-,10,0,1,3,5.0,32,19.0,5.0,67.2,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
12,,齊藤葉月,1,□,,,,,1,0,0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,2,2.0,0.0,100.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
14,L,鶴ヶ崎佳寿葉,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,15.0,2.0,80.0,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
16,,名原寧音,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
17,,小清水茉弥,4,■,■,■,■,,25,9,0,36.0,2.25,2,0,0,0.0,1,0.25,12,1,1,3,12.5,0,0.0,0.0,-,801,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,柏エンゼルクロス,ブレス浜松,岩下忠正,吉川三博,3,1,4,Win,106,Away
2,,磯野明日香,3,■,■,■,,,19,13,1,68.4,4.33,0,0,0,-,2,0.67,12,3,2,7,35.4,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
3,,鈴木日葵,3,■,■,■,,,11,4,0,36.4,1.33,0,0,0,-,1,0.33,13,0,4,2,-3.8,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
4,,小林愛里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
5,,田中瑠奈,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,1.0,0.0,100.0,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
6,,栗田楓,3,■,■,■,,,2,0,0,0.0,-,0,0,0,-,1,0.33,8,0,0,3,9.4,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
7,,寺坂茜,3,■,■,■,,,27,12,2,44.4,4.00,0,0,0,-,0,-,18,2,3,4,12.5,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
8,L,谷内真美,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,6.0,2.0,77.8,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
9,,丸山佳穂,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
10,,柿沼杏奈,3,■,■,■,,,22,9,2,40.9,3.00,0,0,0,-,0,-,11,0,0,3,6.8,16,3.0,4.0,31.2,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
11,,三好紗弥香,3,■,■,■,,,28,8,2,28.6,2.67,0,0,0,-,0,-,11,2,0,3,25.0,35,11.0,7.0,41.4,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
13,,愛宕諒子,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
14,,戸澤舞,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,遠藤孔太,3,0,3,Win,76,Home
1,,重松史乃,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
2,,村尾葉津樹,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,1,0.0,0.0,0.0,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
3,,有川由季乃,3,■,■,■,,,22,7,2,31.8,2.33,0,0,0,-,0,-,6,0,0,1,4.2,8,4.0,2.0,62.5,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
4,L,平岩沙紀,1,〇,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,1.0,50.0,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
7,,牧亜沙子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
8,L,三浦あゆみ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,22,10.0,5.0,56.8,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
9,,秋満由紀子,2,□,□,,,,3,1,0,33.3,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
12,,百瀬彩夏,3,■,■,■,,,10,5,2,50.0,1.67,0,0,0,-,1,0.33,10,1,1,4,17.5,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
18,,草野静奈,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,8,3.0,1.0,43.8,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
24,,縄田香世子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
27,,関口梨紗子,3,■,■,■,,,8,3,1,37.5,1.00,0,0,0,-,1,0.33,10,1,0,7,27.5,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
28,,松浦未波,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,13,2,0,4,23.1,0,0.0,0.0,-,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
29,,勝見咲子,3,■,■,■,,,26,7,5,26.9,2.33,1,0,1,0.0,1,0.33,11,1,1,5,18.2,11,3.0,3.0,40.9,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
30,,色摩知巳,3,■,■,■,,,30,9,3,30.0,3.00,2,0,1,0.0,2,0.67,9,0,0,5,13.9,9,4.0,2.0,55.6,802,2017-11-04,2017,11,04,,サーラグリーンアリーナ（浜北総合体育館）,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,山口弥緒,0,3,3,Lose,76,Away
