AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
112,54,6,48.2,18.00,5,1,1,20.0,11,3.67,75,4,9,23,12.7,57,32.0,0.0,56.1,601,2015-11-07,2015,11,07,,猫田記念体育館,PFUブルーキャッツ,柏エンゼルクロス,寺廻太,金子健太郎,3,0,3,Win,73,Home,110,34,4,30.9,11.33,2,1,0,50.0,4,1.33,59,1,1,25,12.3,63,40.0,0.0,63.5
110,34,4,30.9,11.33,2,1,0,50.0,4,1.33,59,1,1,25,12.3,63,40.0,0.0,63.5,601,2015-11-07,2015,11,07,,猫田記念体育館,柏エンゼルクロス,PFUブルーキャッツ,岩下忠正,飯田功也,0,3,3,Lose,73,Away,112,54,6,48.2,18.00,5,1,1,20.0,11,3.67,75,4,9,23,12.7,57,32.0,0.0,56.1
133,36,8,27.1,12.00,6,1,1,16.7,4,1.33,54,3,5,20,14.1,71,44.0,0.0,62.0,602,2015-11-07,2015,11,07,,猫田記念体育館,大野石油広島オイラーズ,JAぎふリオレーナ,豆田憲昭,鈴木輝,0,3,3,Lose,74,Home,120,52,2,43.3,17.33,1,0,0,0.0,6,2.00,72,1,1,27,10.5,48,28.0,0.0,58.3
120,52,2,43.3,17.33,1,0,0,0.0,6,2.00,72,1,1,27,10.5,48,28.0,0.0,58.3,602,2015-11-07,2015,11,07,,猫田記念体育館,JAぎふリオレーナ,大野石油広島オイラーズ,椿本真恵,鈴木智大,3,0,3,Win,74,Away,133,36,8,27.1,12.00,6,1,1,16.7,4,1.33,54,3,5,20,14.1,71,44.0,0.0,62.0
158,56,11,35.4,14.00,1,0,0,0.0,8,2.00,85,4,5,42,16.1,91,50.0,0.0,54.9,603,2015-11-07,2015,11,07,,水俣市総合体育館,KUROBEアクアフェアリーズ,仙台ベルフィーユ,米山弘,,1,3,4,Lose,111,Home,169,61,9,36.1,15.25,3,0,0,0.0,8,2.00,98,9,5,35,16.7,80,36.0,0.0,45.0
169,61,9,36.1,15.25,3,0,0,0.0,8,2.00,98,9,5,35,16.7,80,36.0,0.0,45.0,603,2015-11-07,2015,11,07,,水俣市総合体育館,仙台ベルフィーユ,KUROBEアクアフェアリーズ,葛和伸元,渡辺将嵩,3,1,4,Win,111,Away,158,56,11,35.4,14.00,1,0,0,0.0,8,2.00,85,4,5,42,16.1,91,50.0,0.0,54.9
113,34,6,30.1,11.33,0,0,0,-,3,1.00,53,2,2,14,10.4,70,35.0,0.0,50.0,604,2015-11-07,2015,11,07,,水俣市総合体育館,フォレストリーヴズ熊本,JTマーヴェラス,中島裕二,,0,3,3,Lose,70,Home,107,50,9,46.7,16.67,15,3,4,20.0,13,4.33,73,4,2,32,15.6,49,35.0,0.0,71.4
107,50,9,46.7,16.67,15,3,4,20.0,13,4.33,73,4,2,32,15.6,49,35.0,0.0,71.4,604,2015-11-07,2015,11,07,,水俣市総合体育館,JTマーヴェラス,フォレストリーヴズ熊本,吉原知子,丹山禎昭,3,0,3,Win,70,Away,113,34,6,30.1,11.33,0,0,0,-,3,1.00,53,2,2,14,10.4,70,35.0,0.0,50.0
168,57,11,33.9,14.25,2,0,0,0.0,14,3.50,95,1,1,25,7.6,93,68.0,0.0,73.1,605,2015-11-08,2015,11,08,,猫田記念体育館,PFUブルーキャッツ,JAぎふリオレーナ,寺廻太,金子健太郎,3,1,4,Win,110,Home,199,69,16,34.7,17.25,1,0,0,0.0,8,2.00,98,3,3,24,9.0,93,68.0,0.0,73.1
199,69,16,34.7,17.25,1,0,0,0.0,8,2.00,98,3,3,24,9.0,93,68.0,0.0,73.1,605,2015-11-08,2015,11,08,,猫田記念体育館,JAぎふリオレーナ,PFUブルーキャッツ,椿本真恵,鈴木智大,1,3,4,Lose,110,Away,168,57,11,33.9,14.25,2,0,0,0.0,14,3.50,95,1,1,25,7.6,93,68.0,0.0,73.1
198,67,10,33.8,16.75,5,2,2,40.0,9,2.25,90,2,5,41,13.2,89,49.0,0.0,55.1,606,2015-11-08,2015,11,08,,猫田記念体育館,大野石油広島オイラーズ,柏エンゼルクロス,豆田憲昭,鈴木輝,3,1,4,Win,108,Home,174,60,9,34.5,15.00,4,1,0,25.0,6,1.50,91,2,2,40,12.7,85,44.0,0.0,51.8
