No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,北村果穂,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,1,0.0,0.0,0.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
2,,江川優貴,4,■,■,■,■,,40,19,3,47.5,4.75,9,2,2,22.2,3,0.75,12,1,4,3,6.2,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
3,,木村友里,4,■,■,■,■,,28,8,1,28.6,2.00,2,0,1,0.0,0,-,21,1,1,11,16.7,19,8.0,3.0,50.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
5,,浅川希,4,■,■,■,■,,42,15,2,35.7,3.75,3,1,1,33.3,1,0.25,7,0,1,2,3.6,33,15.0,11.0,62.1,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
6,,松尾由紀子,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
7,,川満理子,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
8,,田村愛美,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,0,-,15,1,0,4,13.3,1,0.0,0.0,0.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
9,,戸田さやか,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
10,,柳沢紫子,4,■,■,■,■,,17,5,2,29.4,1.25,0,0,0,-,4,1.00,21,0,0,10,11.9,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
11,L,森寿実子,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,19,9.0,5.0,60.5,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
12,,丹野瑞希,2,□,□,,,,5,2,0,40.0,1.00,0,0,0,-,0,-,3,0,0,1,8.3,1,1.0,0.0,100.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
13,,本間有貴,4,■,■,■,■,,24,8,1,33.3,2.00,0,0,0,-,1,0.25,11,0,3,5,4.5,1,1.0,0.0,100.0,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
20,L,福田有里,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2018-11-10,2018,11,10,,トヨタスポーツセンター,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,新垣裕太,3,1,4,Win,94,Away
2,,鈴木千織,3,■,■,■,,,6,2,0,33.3,0.67,0,0,0,-,0,-,10,2,1,1,20.0,1,1.0,0.0,100.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
5,,権藤玲奈,3,■,■,■,,,52,15,5,28.8,5.00,19,4,3,21.1,1,0.33,7,0,1,3,7.1,2,2.0,0.0,100.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
7,,後藤真利,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
8,,松尾妃七菜,3,■,■,■,,,2,2,0,100.0,0.67,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
9,,廣田唯,1,,■,,,,4,1,1,25.0,1.00,1,0,1,0.0,1,1.00,4,0,0,2,12.5,1,0.0,0.0,0.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
11,,小川古都,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
12,,石山綺里,2,□,,□,,,2,2,0,100.0,1.00,0,0,0,-,0,-,4,0,0,3,18.8,7,2.0,3.0,50.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
13,,竹内碧,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
14,L,田戸美咲,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,3.0,3.0,50.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
15,,一森祐希奈,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
16,,梅木瞳,3,■,■,■,,,16,4,3,25.0,1.33,0,0,0,-,0,-,5,0,1,3,10.0,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
18,,浅野美波,3,■,■,■,,,20,2,2,10.0,0.67,0,0,0,-,0,-,6,0,0,2,8.3,39,20.0,10.0,64.1,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
19,,吉田伽那,2,■,,■,,,12,0,2,0.0,-,0,0,0,-,0,-,5,0,1,2,5.0,13,7.0,2.0,61.5,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,トヨタ自動車ヴァルキューレ,群馬銀行グリーンウイングス,金子健一郎,太田有紀,0,3,3,Lose,64,Home
1,,栗田楓,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,12,0,0,6,12.5,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
2,L,吉岡みなみ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
3,,鈴木日葵,3,■,■,■,,,12,6,1,50.0,2.00,0,0,0,-,1,0.33,14,1,0,4,14.3,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
5,,田中瑠奈,3,■,■,■,,,26,12,4,46.2,4.00,1,1,0,100.0,0,-,11,0,1,3,4.5,10,7.0,0.0,70.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
6,,古市彩音,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,10,1,0,1,12.5,1,1.0,0.0,100.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
7,,寺坂茜,3,□,□,□,,,4,3,0,75.0,1.00,0,0,0,-,1,0.33,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
8,,斉藤千佳,3,■,■,■,,,18,9,1,50.0,3.00,0,0,0,-,0,-,6,0,0,0,0.0,1,1.0,0.0,100.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
9,L,上地野乃香,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,3.0,0.0,50.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
10,,新井祥,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,5,4.0,1.0,90.0,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
11,,三好紗弥香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
12,,土屋智菜実,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
13,,愛宕諒子,3,■,■,■,,,22,9,0,40.9,3.00,0,0,0,-,1,0.33,7,0,0,1,3.6,16,0.0,4.0,12.5,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
14,,濱邊優愛,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
16,,安福若菜,3,■,■,■,,,17,8,2,47.1,2.67,0,0,0,-,2,0.67,13,1,0,1,9.6,0,0.0,0.0,-,702,2018-11-10,2018,11,10,,トヨタスポーツセンター,群馬銀行グリーンウイングス,トヨタ自動車ヴァルキューレ,石原昭久,須崎杏,3,0,3,Win,64,Away
1,,田代麻樹,3,■,■,■,,,19,9,1,47.4,3.00,0,0,0,-,1,0.33,8,1,0,2,18.8,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
3,,今井里美,3,■,■,■,,,26,12,1,46.2,4.00,2,1,0,50.0,0,-,12,1,0,3,14.6,14,5.0,3.0,46.4,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
5,,山本裕香,3,□,■,■,,,23,7,5,30.4,2.33,2,0,2,0.0,1,0.33,16,1,1,0,4.7,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
6,,宮井遥,1,■,,,,,7,4,1,57.1,4.00,1,0,1,0.0,0,-,2,0,1,0,-12.5,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
8,,岩永明奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
9,,本間真樹子,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,2,0.67,9,0,0,3,8.3,1,0.0,0.0,0.0,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
10,,中村早紀子,3,■,■,■,,,21,11,0,52.4,3.67,0,0,0,-,0,-,10,0,1,4,7.5,23,13.0,6.0,69.6,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
11,,佐々木美帆,3,■,■,■,,,12,8,0,66.7,2.67,0,0,0,-,0,-,14,1,0,3,12.5,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
12,,井上実咲,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
13,L,岡田倫奈,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
14,,佐野遥香,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
15,,齊藤望,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
16,L,目加田莉央,3,〇,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,6.0,2.0,77.8,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
18,,浜田栞,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,JAぎふリオレーナ,大阪スーペリアーズ,椿本真恵,皆川佳介,3,0,3,Win,65,Home
1,,梅木夢乃,3,■,■,■,,,0,0,0,-,-,0,0,0,-,0,-,8,0,0,2,6.2,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
3,,矢口紗友美,3,■,■,■,,,13,4,3,30.8,1.33,0,0,0,-,0,-,7,0,0,0,0.0,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
5,,寺田遥,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,4.0,1.0,75.0,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
8,,坂根朱里,3,■,■,■,,,7,1,0,14.3,0.33,0,0,0,-,0,-,9,2,0,3,30.6,1,0.0,0.0,0.0,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
9,,張歓歓,3,■,■,■,,,42,14,3,33.3,4.67,3,0,0,0.0,0,-,9,1,1,3,16.7,17,7.0,6.0,58.8,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
12,,吉田珠菜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
13,,原田茉由,3,■,■,■,,,17,3,0,17.6,1.00,0,0,0,-,0,-,8,0,1,2,3.1,22,15.0,5.0,79.5,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
14,L,須田美南,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,9.0,4.0,64.7,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
15,,不破沙耶佳,3,■,■,■,,,30,9,3,30.0,3.00,3,0,1,0.0,0,-,8,1,0,2,18.8,1,1.0,0.0,100.0,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
16,,松村美空,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
17,,吉村文那,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
18,,園田乃菜,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,1.0,1.0,25.0,703,2018-11-10,2018,11,10,,猫田記念体育館,大阪スーペリアーズ,JAぎふリオレーナ,平上帆澄,,0,3,3,Lose,65,Away
1,,北川海育,3,■,■,■,,,17,11,0,64.7,3.67,0,0,0,-,0,-,10,1,0,4,20.0,1,1.0,0.0,100.0,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
4,,長谷川侑南,2,■,■,,,,2,2,0,100.0,1.00,1,1,0,100.0,0,-,7,1,0,2,21.4,0,0.0,0.0,-,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
5,L,藤田萠英,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,2.0,2.0,50.0,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
6,,吉里遥,2,■,■,,,,12,5,2,41.7,2.50,2,0,1,0.0,0,-,14,0,1,5,7.1,0,0.0,0.0,-,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
7,,馬渡晴菜,2,,□,■,,,0,0,0,-,-,0,0,0,-,0,-,8,0,0,2,6.2,0,0.0,0.0,-,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
8,,吉本梓穂,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,1,1.0,0.0,100.0,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
9,,佐藤愛美,2,,□,■,,,16,9,2,56.2,4.50,2,0,0,0.0,2,1.00,5,1,0,3,35.0,1,0.0,1.0,50.0,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
10,,山内佑里子,3,■,■,■,,,26,9,0,34.6,3.00,0,0,0,-,2,0.67,9,1,0,1,13.9,19,9.0,5.0,60.5,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
11,,中田唯香,2,,□,■,,,14,5,1,35.7,2.50,0,0,0,-,1,0.50,3,0,0,0,0.0,12,3.0,4.0,41.7,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
12,,谷岡初生,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,704,2018-11-10,2018,11,10,,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,原秀治,鈴木輝,3,0,3,Win,73,Home
