AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
155,67,9,43.2,16.75,20,4,4,20.0,9,2.25,99,4,11,33,11.6,86,58.0,0.0,67.4,817,2008-02-02,2008,02,02,,東京体育館,埼玉上尾メディックス,PFUブルーキャッツ,高野圭介,附田義信,3,1,4,Win,96,Home,148,52,11,35.1,13.00,6,2,1,33.3,9,2.25,91,3,5,25,9.5,88,51.0,0.0,58.0
148,52,11,35.1,13.00,6,2,1,33.3,9,2.25,91,3,5,25,9.5,88,51.0,0.0,58.0,817,2008-02-02,2008,02,02,,東京体育館,PFUブルーキャッツ,埼玉上尾メディックス,大津 躍,東谷友恵,1,3,4,Lose,96,Away,155,67,9,43.2,16.75,20,4,4,20.0,9,2.25,99,4,11,33,11.6,86,58.0,0.0,67.4
182,70,13,38.5,14.00,1,0,0,0.0,9,1.80,104,3,10,41,12.4,99,58.0,0.0,58.6,818,2008-02-02,2008,02,02,,東京体育館,健祥会レッドハーツ,三洋電機レッドソア,佐々木充,米山弘,2,3,5,Lose,107,Home,173,67,10,38.7,13.40,1,0,0,0.0,6,1.20,103,2,4,39,11.0,93,50.0,0.0,53.8
173,67,10,38.7,13.40,1,0,0,0.0,6,1.20,103,2,4,39,11.0,93,50.0,0.0,53.8,818,2008-02-02,2008,02,02,,東京体育館,三洋電機レッドソア,健祥会レッドハーツ,藤本幹朗,長尾和敏,3,2,5,Win,107,Away,182,70,13,38.5,14.00,1,0,0,0.0,9,1.80,104,3,10,41,12.4,99,58.0,0.0,58.6
100,40,13,40.0,13.33,1,0,0,0.0,5,1.67,61,2,6,22,11.6,69,43.0,0.0,62.3,819,2008-02-02,2008,02,02,,東京体育館,四国Eighty8Queen,大野石油広島オイラーズ,米田一典,由淵聖,0,3,3,Lose,63,Home,82,41,4,50.0,13.67,4,0,1,0.0,8,2.67,75,5,4,23,13.5,55,31.0,0.0,56.4
82,41,4,50.0,13.67,4,0,1,0.0,8,2.67,75,5,4,23,13.5,55,31.0,0.0,56.4,819,2008-02-02,2008,02,02,,東京体育館,大野石油広島オイラーズ,四国Eighty8Queen,三ヶ島正好,豆田憲昭,3,0,3,Win,63,Away,100,40,13,40.0,13.33,1,0,0,0.0,5,1.67,61,2,6,22,11.6,69,43.0,0.0,62.3
159,61,19,38.4,12.20,0,0,0,-,5,1.00,99,6,8,43,15.7,95,52.0,0.0,54.7,820,2008-02-02,2008,02,02,,東京体育館,柏エンゼルクロス,KUROBEアクアフェアリーズ,藤井聡,柿島新太郎,2,3,5,Lose,100,Home,167,54,17,32.3,10.80,2,0,0,0.0,7,1.40,101,5,5,39,13.8,91,42.0,0.0,46.2
167,54,17,32.3,10.80,2,0,0,0.0,7,1.40,101,5,5,39,13.8,91,42.0,0.0,46.2,820,2008-02-02,2008,02,02,,東京体育館,KUROBEアクアフェアリーズ,柏エンゼルクロス,根本勝司,浜田勝彦,3,2,5,Win,100,Away,159,61,19,38.4,12.20,0,0,0,-,5,1.00,99,6,8,43,15.7,95,52.0,0.0,54.7
171,67,15,39.2,13.40,1,0,0,0.0,7,1.40,101,7,7,36,14.7,98,57.0,0.0,58.2,821,2008-02-03,2008,02,03,,東京体育館,四国Eighty8Queen,柏エンゼルクロス,米田一典,由淵聖,2,3,5,Lose,103,Home,163,67,10,41.1,13.40,0,0,0,-,11,2.20,102,2,4,39,11.1,93,51.0,0.0,54.8
163,67,10,41.1,13.40,0,0,0,-,11,2.20,102,2,4,39,11.1,93,51.0,0.0,54.8,821,2008-02-03,2008,02,03,,東京体育館,柏エンゼルクロス,四国Eighty8Queen,藤井聡,柿島新太郎,3,2,5,Win,103,Away,171,67,15,39.2,13.40,1,0,0,0.0,7,1.40,101,7,7,36,14.7,98,57.0,0.0,58.2
