背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,,香野 晶子,4,■,■,■,■,,18,5,1,27.8,1.25,0,0,0,-,1,0.25,18,0,2,4,5.6,2,2.0,0.0,100.0
3,,横田 千里,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,0,-,22,0,3,7,8.0,0,0.0,0.0,-
4,,スタエレンス シャイーヌ,4,■,■,■,■,,61,27,3,44.3,6.75,2,1,0,50.0,2,0.50,12,0,2,4,8.3,34,15.0,0.0,44.1
5,,服部 晃佳,4,■,■,■,■,,30,8,1,26.7,2.00,2,0,0,0.0,2,0.50,14,0,1,4,7.1,17,10.0,0.0,58.8
6,L,林 蓉子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
8,,今野 加奈子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
9,,三橋 聡恵,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
10,,浅津 ゆうこ,4,■,■,■,■,,33,18,0,54.5,4.50,9,3,0,33.3,0,-,8,0,0,2,6.2,0,0.0,0.0,-
12,,服部 梨花,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,森谷 史佳,4,■,■,■,■,,17,9,0,52.9,2.25,0,0,0,-,2,0.50,10,1,1,1,10.5,0,0.0,0.0,-
16,,持丸 結美子,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,6,0,0,1,4.2,0,0.0,0.0,-
17,,渡邉 和香里,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-
18,,佐藤 円,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0.0,0.0,-
20,L,吉田 真未,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,17,12.0,0.0,70.6
チーム合計,チーム合計,チーム合計,4,,,,,,161,68,5,42.2,17.00,13,4,0,30.8,7,1.75,97,1,9,25,7.3,70,39.0,0.0,55.7
