背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
3,,大竹 里歩,4,■,■,■,■,,18,8,0,44.4,2.00,0,0,0,-,1,0.25,19,0,3,5,6.6,0,0.0,0.0,-
5,,熊谷 桜子,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,0,-,21,0,1,10,11.9,0,0.0,0.0,-
6,,鈴木 裕子,4,■,■,■,□,,24,5,1,20.8,1.25,0,0,0,-,0,-,9,1,1,2,14.4,15,10.0,0.0,66.7
7,,鍋谷 友理枝,4,■,■,■,■,,36,13,0,36.1,3.25,1,0,0,0.0,3,0.75,13,0,1,5,9.6,22,12.0,0.0,54.5
8,,井上 香織,4,■,■,■,■,,18,6,0,33.3,1.50,0,0,0,-,1,0.25,12,0,0,5,10.4,0,0.0,0.0,-
10,,山田 美花,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,3,18.8,2,1.0,0.0,50.0
11,,井上 奈々朱,2,□,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
12,,泉岡 未来,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
16,,石井 里沙,4,□,□,□,■,,20,7,0,35.0,1.75,0,0,0,-,0,-,13,0,0,4,7.7,16,14.0,0.0,87.5
18,,栄 絵里香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,木島 綾菜,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
20,L,真柴 咲紀,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,41,29.0,0.0,70.7
21,,イヴァナ ネーショヴィッチ,4,■,■,■,■,,69,36,6,52.2,9.00,32,15,3,46.9,3,0.75,21,3,2,7,21.7,0,0.0,0.0,-
22,L,江口 友里香,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,4,,,,,,186,75,7,40.3,18.75,33,15,3,45.5,8,2.00,112,4,8,41,12.4,96,66.0,0.0,68.8
