No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
1,,栗田楓,4,□,,□,□,□,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
2,L,吉岡みなみ,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
3,,鈴木日葵,3,,,■,■,■,7,4,0,57.1,1.33,0,0,0,-,1,0.33,9,0,0,0,0.0,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
4,,小林愛里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
5,,田中瑠奈,5,■,■,■,■,■,51,21,8,41.2,4.20,2,0,0,0.0,1,0.20,20,2,1,6,16.2,44,21.0,12.0,61.4,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
6,,古市彩音,5,■,■,■,■,■,6,2,0,33.3,0.40,0,0,0,-,0,-,19,1,1,9,15.8,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
8,,斉藤千佳,4,□,,□,□,□,5,1,1,20.0,0.25,0,0,0,-,1,0.25,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
9,L,上地野乃香,5,〇,〇,〇,〇,〇,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,18,7.0,3.0,47.2,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
10,,新井祥,5,■,■,■,■,■,48,15,1,31.2,3.00,0,0,0,-,1,0.20,25,0,0,6,6.0,34,19.0,6.0,64.7,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
11,,坂本陽菜,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,1.0,2.0,33.3,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
12,,土屋智菜実,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
13,,愛宕諒子,5,■,■,■,■,■,51,24,2,47.1,4.80,0,0,0,-,1,0.20,17,0,2,5,4.4,2,1.0,0.0,50.0,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
15,,石川梨奈,2,■,■,,,,12,4,1,33.3,2.00,0,0,0,-,2,1.00,7,0,0,1,3.6,1,1.0,0.0,100.0,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
16,,安福若菜,5,■,■,■,■,■,16,10,0,62.5,2.00,0,0,0,-,4,0.80,14,1,0,2,10.7,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,群馬銀行グリーンウイングス,GSS東京サンビームズ,石原昭久,須崎杏,2,3,5,Lose,128,Home
