No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
2,,松浦未波,5,■,■,■,■,■,1,1,0,100.0,0.20,0,0,0,-,0,-,24,1,0,5,9.4,1,0.0,0.0,0.0,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
3,,有川由季乃,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
4,L,平岩沙紀,5,●,●,●,●,●,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,36,19.0,10.0,66.7,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
5,,色摩知巳,5,■,■,□,□,□,43,13,2,30.2,2.60,0,0,0,-,0,-,13,1,0,3,13.5,21,10.0,2.0,52.4,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
14,,竹内沙月,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
15,,吉里遥,5,■,■,■,■,■,59,28,3,47.5,5.60,5,3,0,60.0,1,0.20,17,2,4,6,14.7,7,4.0,2.0,71.4,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
17,,中條美月,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
19,,大原萌,3,□,,,□,□,0,0,0,-,-,0,0,0,-,0,-,4,1,0,0,25.0,5,2.0,2.0,60.0,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
20,,鬼塚雛子,4,□,,□,□,□,1,1,0,100.0,0.25,0,0,0,-,0,-,3,1,0,0,33.3,7,5.0,1.0,78.6,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
21,,張心穆意,5,■,■,■,■,■,39,16,0,41.0,3.20,0,0,0,-,2,0.40,19,1,1,3,7.9,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
24,,前村明里,5,□,□,■,■,■,0,0,0,-,-,0,0,0,-,0,-,7,1,0,2,21.4,10,2.0,5.0,45.0,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
25,,賀谷明日光,5,■,■,■,■,■,20,6,0,30.0,1.20,0,0,0,-,0,-,13,1,2,2,7.7,1,0.0,0.0,0.0,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
27,,山本紗貴,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
29,,勝見咲子,5,■,■,■,■,■,34,14,2,41.2,2.80,0,0,0,-,0,-,14,0,1,3,3.6,20,10.0,4.0,60.0,701,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,GSS東京サンビームズ,群馬銀行グリーンウイングス,笛木彰,縄田香世子,3,2,5,Win,128,Away
2,,小坂亜未,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,6.0,1.0,65.0,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
3,L,水谷真友,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,11,7.0,3.0,77.3,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
4,,佐々木里菜,4,■,■,■,■,,9,3,1,33.3,0.75,0,0,0,-,0,-,11,0,0,3,6.8,1,0.0,0.0,0.0,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
5,,高橋愛未,4,■,■,■,■,,39,10,2,25.6,2.50,1,0,1,0.0,1,0.25,16,0,0,4,6.2,30,17.0,6.0,66.7,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
6,,岸村恵実,4,■,■,■,■,,33,10,2,30.3,2.50,0,0,0,-,5,1.25,13,0,0,0,0.0,2,1.0,0.0,50.0,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
7,,平岡みさと,4,■,■,■,■,,39,11,3,28.2,2.75,3,0,1,0.0,0,-,16,1,2,1,4.7,11,2.0,6.0,45.5,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
8,,石井彩,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
9,,降籏実可,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
10,,常田美夢,4,■,■,■,■,,27,9,3,33.3,2.25,0,0,0,-,1,0.25,13,0,1,4,5.8,2,1.0,0.0,50.0,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
11,,平原果歩,1,,,,□,,4,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
12,,綱田愛,4,■,■,■,■,,24,12,0,50.0,3.00,0,0,0,-,0,-,17,0,0,5,7.4,22,9.0,10.0,63.6,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
13,,白石ふう香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,ルートインホテルズブリリアントアリーズ,JAぎふリオレーナ,川口廣,野口京子,1,3,4,Lose,100,Home
1,,田代麻樹,4,■,■,■,■,,4,0,0,0.0,-,0,0,0,-,1,0.25,11,0,1,1,0.0,1,0.0,0.0,0.0,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
2,,佐々原和,4,■,■,■,■,,53,20,4,37.7,5.00,0,0,0,-,0,-,16,0,0,2,3.1,34,12.0,17.0,60.3,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
4,,吉井奎乃,3,,□,■,■,,28,11,1,39.3,3.67,4,0,0,0.0,0,-,11,1,2,3,11.4,22,7.0,7.0,47.7,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
5,,山本裕香,4,■,■,■,■,,48,22,1,45.8,5.50,10,3,1,30.0,1,0.25,19,0,2,5,3.9,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
6,,宮井遥,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,6,1,0,1,20.8,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
8,,岩永明奈,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
9,,本間真樹子,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
12,,井上実咲,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
13,L,岡田倫奈,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
15,,齊藤望,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
16,L,目加田莉央,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,6.0,3.0,75.0,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
17,,唐川愛璃,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,1,0.25,17,0,0,5,7.4,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
18,,浜田栞,4,■,■,■,■,,33,16,2,48.5,4.00,0,0,0,-,1,0.25,10,0,1,2,2.5,0,0.0,0.0,-,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
19,,柳沼優花,3,■,■,□,,,27,6,2,22.2,2.00,1,0,0,0.0,0,-,7,0,1,0,-3.6,16,6.0,7.0,59.4,702,2019-11-09,2019,11,09,長野県,上田市立自然運動公園総合体育館,JAぎふリオレーナ,ルートインホテルズブリリアントアリーズ,椿本真恵,鈴木智大,3,1,4,Win,100,Away
1,L,北村果穂,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
2,,江川優貴,2,□,,,□,,2,0,0,0.0,-,0,0,0,-,0,-,2,0,1,1,0.0,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
3,,木村友里,4,■,■,■,■,,39,13,1,33.3,3.25,7,1,0,14.3,1,0.25,11,0,1,2,2.3,34,22.0,6.0,73.5,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
5,,浅川希,2,,,□,□,,7,1,2,14.3,0.50,2,0,0,0.0,0,-,2,0,0,0,0.0,7,6.0,0.0,85.7,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
8,,田村愛美,3,■,■,,□,,0,0,0,-,-,0,0,0,-,1,0.33,3,0,0,0,0.0,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
10,,柳沢紫子,2,■,■,,,,16,2,3,12.5,1.00,5,0,2,0.0,1,0.50,3,0,0,0,0.0,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
11,L,森寿実子,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,7.0,1.0,83.3,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
13,,本間有貴,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
15,,投野ひかる,4,□,□,■,■,,1,0,1,0.0,-,0,0,0,-,0,-,10,1,0,2,15.0,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
16,,宮本菜月,4,□,□,■,■,,23,9,2,39.1,2.25,1,1,0,100.0,5,1.25,12,1,2,2,8.3,2,1.0,0.0,50.0,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
17,,伊藤摩耶,4,■,■,■,■,,31,10,2,32.3,2.50,0,0,0,-,3,0.75,26,1,2,13,14.4,1,1.0,0.0,100.0,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
18,,藤原真理子,4,■,■,■,■,,37,7,2,18.9,1.75,5,0,0,0.0,0,-,10,1,3,3,10.0,29,13.0,10.0,62.1,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
19,,菅原里奈,4,■,■,■,■,,20,10,1,50.0,2.50,0,0,0,-,2,0.50,14,0,0,3,5.4,3,2.0,0.0,66.7,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,プレステージ・インターナショナルアランマーレ,柏エンゼルクロス,北原勉,村上昴,1,3,4,Lose,102,Home
1,L,鈴木遥,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
4,,石川綾菜,4,■,■,■,■,,22,6,4,27.3,1.50,0,0,0,-,1,0.25,14,0,4,1,-5.4,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
7,,渋川小夏,4,■,■,■,■,,32,10,0,31.2,2.50,0,0,0,-,2,0.50,11,1,3,1,4.5,26,8.0,10.0,50.0,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
9,,岡村真衣,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
13,,木村汐里,4,■,■,■,■,,51,20,2,39.2,5.00,4,1,1,25.0,2,0.50,13,0,2,4,3.8,33,18.0,7.0,65.2,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
14,L,鶴ヶ崎佳寿葉,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,12,8.0,0.0,66.7,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
16,,名原寧音,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,0,-,18,0,0,3,4.2,1,0.0,0.0,0.0,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
18,,徳石あかり,4,■,■,■,■,,15,3,1,20.0,0.75,0,0,0,-,0,-,20,1,1,1,5.0,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
19,,鶴田佳菜,4,■,■,■,■,,51,20,2,39.2,5.00,0,0,0,-,0,-,17,1,0,3,10.3,11,3.0,1.0,31.8,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
20,,古川友,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
21,,松原南,2,,□,□,,,9,2,0,22.2,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,703,2019-11-09,2019,11,09,広島県,猫田記念体育館,柏エンゼルクロス,プレステージ・インターナショナルアランマーレ,片田瑞己,豆田憲昭,3,1,4,Win,102,Away
1,,北川海育,4,■,■,■,■,,18,7,1,38.9,1.75,0,0,0,-,0,-,10,0,0,1,2.5,0,0.0,0.0,-,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
2,,大西真咲,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
3,,磯部成里,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
4,,長谷川侑南,4,■,■,■,■,,2,1,1,50.0,0.25,0,0,0,-,0,-,18,3,3,6,20.8,0,0.0,0.0,-,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
8,,吉本梓穂,3,□,□,,□,,8,1,1,12.5,0.33,1,0,0,0.0,0,-,5,0,0,0,0.0,9,4.0,1.0,50.0,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
9,,佐藤愛美,4,■,■,■,■,,56,9,4,16.1,2.25,9,0,1,0.0,3,0.75,7,0,0,2,7.1,2,1.0,0.0,50.0,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
10,,山内佑里子,1,,□,,,,5,1,0,20.0,1.00,2,1,0,50.0,0,-,1,0,0,1,25.0,4,2.0,0.0,50.0,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
11,,中田唯香,4,■,■,■,■,,41,8,5,19.5,2.00,4,0,0,0.0,0,-,8,1,0,3,21.9,18,11.0,1.0,63.9,704,2019-11-09,2019,11,09,広島県,猫田記念体育館,大野石油広島オイラーズ,ブレス浜松,鈴木輝,内田役子,1,3,4,Lose,93,Home
