背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
1,,山本 映樹,3,■,■,■,,,13,7,0,53.8,2.33,1,0,0,0.0,1,0.33,11,1,2,2,9.1,0,0.0,0.0,-
3,,河戸 俊亮,3,■,■,■,,,13,8,0,61.5,2.67,0,0,0,-,5,1.67,4,0,1,0,-6.2,0,0.0,0.0,-
4,,北村 將,3,■,■,■,,,9,3,0,33.3,1.00,0,0,0,-,1,0.33,17,1,0,4,11.8,29,23.0,4.0,86.2
5,,今中 聖也,3,□,□,□,,,6,2,0,33.3,0.67,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
7,,石田 康祐,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
11,,本多 駿,3,■,■,■,,,25,14,4,56.0,4.67,5,1,3,20.0,0,-,13,0,2,1,-1.9,3,2.0,0.0,66.7
12,,中田 雄大,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,14,2,0,0,14.3,1,1.0,0.0,100.0
13,,那須野 裕進,3,■,■,■,,,10,3,1,30.0,1.00,0,0,0,-,4,1.33,12,0,1,3,4.2,0,0.0,0.0,-
14,,片岡 飛雄吾,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,久門 伸司,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0.0,0.0,-
16,L,大原 悠,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,5,5.0,0.0,100.0
25,,新屋 政樹,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
チーム合計,チーム合計,チーム合計,3,,,,,,77,38,5,49.4,12.67,6,1,3,16.7,11,3.67,73,4,6,10,6.8,38,31.0,4.0,86.8
