No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away
2,,渡邊彩,3,■,■,■,,,15,10,1,66.7,3.33,0,0,0,-,4,1.33,11,1,0,4,16.4,0,0.0,0.0,-,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
3,,佐々木侑,3,■,■,■,,,20,7,1,35.0,2.33,2,1,0,50.0,1,0.33,8,0,1,4,12.5,5,1.0,0.0,20.0,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
4,,天野ゆかり,2,□,,□,,,5,1,0,20.0,0.50,0,0,0,-,0,-,0,0,0,0,-,1,0.0,0.0,0.0,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
6,,佐々木萌,3,■,■,■,,,39,15,4,38.5,5.00,11,5,3,45.5,0,-,12,0,0,4,8.3,14,11.0,0.0,78.6,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
9,,寺沢美香,3,■,■,■,,,12,6,0,50.0,2.00,0,0,0,-,2,0.67,14,3,0,5,27.5,0,0.0,0.0,-,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
10,,北上夏希,3,■,■,■,,,19,7,0,36.8,2.33,7,3,0,42.9,1,0.33,11,1,1,4,16.4,29,14.0,0.0,48.3,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
13,,酢田眞実,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
15,L,横江千秋,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,6.0,0.0,100.0,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
16,,松野由香,3,■,■,■,,,1,0,0,0.0,-,0,0,0,-,2,0.67,18,2,2,6,19.4,0,0.0,0.0,-,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
17,,新城友美,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
18,,嶋村菜都美,1,,□,,,,2,0,1,0.0,-,2,0,1,0.0,0,-,0,0,0,0,-,0,0.0,0.0,-,801,2011-12-10,2011,12,10,,多賀城市総合体育館,三洋電機レッドソア,健祥会レッドハーツ,坂本博秋,,3,0,3,Win,67,Home
