チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,サーブ,ノータッチエース,サービスエース,エース,サーブミス,サーブ効果率,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),失敗かつブレイク,優かつブレイク,良かつブレイク,ブレイク,失敗かつ被サイドアウト,優かつ被サイドアウト,良かつ被サイドアウト,被サイドアウト,その他ミス
岡山シーガルズ,宮下,0,0,0,0,,,1,104,0,2,0,0,7.2,30.0,50.0,24.0,10.0,19.0,9.0,38.0,20.0,31.0,15.0,66.0,3
岡山シーガルズ,小野寺,0,0,0,0,,,0,27,0,0,0,0,5.6,6.0,13.0,8.0,3.0,3.0,3.0,9.0,3.0,10.0,5.0,18.0,3
岡山シーガルズ,川島,10,9,0,19,47.4,47.4,4,89,1,3,1,10,4.2,21.0,39.0,18.0,11.0,16.0,4.0,31.0,10.0,23.0,14.0,47.0,1
岡山シーガルズ,楢崎,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,1
岡山シーガルズ,田口,2,0,0,2,0.0,0.0,0,20,0,0,0,0,7.5,6.0,11.0,3.0,3.0,3.0,2.0,8.0,3.0,8.0,1.0,12.0,0
岡山シーガルズ,船田,0,0,0,0,,,0,4,0,0,0,0,6.2,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0
岡山シーガルズ,遠藤,25,12,1,38,31.6,28.9,1,55,1,0,1,6,4.5,12.0,22.0,14.0,7.0,8.0,5.0,20.0,5.0,14.0,9.0,28.0,1
岡山シーガルズ,金田,74,44,7,125,35.2,29.6,3,96,0,2,0,3,4.4,20.0,56.0,17.0,7.0,14.0,5.0,26.0,13.0,41.0,12.0,66.0,2
岡山シーガルズ,長瀬,13,12,0,25,48.0,48.0,10,87,0,0,0,2,3.2,13.0,49.0,23.0,4.0,16.0,9.0,29.0,9.0,33.0,14.0,56.0,0
岡山シーガルズ,高柳(有),26,6,3,35,17.1,8.6,0,41,0,2,0,2,5.5,11.0,20.0,8.0,5.0,6.0,2.0,13.0,6.0,14.0,6.0,26.0,0
日立Astemoリヴァーレ,オクム大庭,51,39,9,99,39.4,30.3,3,71,0,1,0,13,1.8,18.0,22.0,18.0,8.0,6.0,7.0,21.0,10.0,16.0,11.0,37.0,2
日立Astemoリヴァーレ,タップ,17,17,5,39,43.6,30.8,11,99,1,3,1,5,8.6,35.0,35.0,24.0,12.0,9.0,6.0,27.0,23.0,26.0,17.0,66.0,6
日立Astemoリヴァーレ,上坂,86,44,14,144,30.6,20.8,12,172,1,9,1,14,6.8,57.0,59.0,41.0,28.0,23.0,12.0,63.0,29.0,36.0,29.0,94.0,5
日立Astemoリヴァーレ,上沢,0,0,0,0,,,0,4,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0
日立Astemoリヴァーレ,中村,2,0,0,2,0.0,0.0,0,2,0,0,0,1,,,,,,,,,,,,,0
日立Astemoリヴァーレ,入澤,5,6,2,13,46.2,30.8,6,29,0,1,0,3,8.6,13.0,4.0,9.0,3.0,1.0,2.0,6.0,10.0,3.0,7.0,20.0,2
日立Astemoリヴァーレ,境,0,2,0,2,100.0,100.0,1,115,2,1,2,3,5.9,22.0,60.0,28.0,14.0,25.0,7.0,46.0,8.0,35.0,21.0,64.0,4
日立Astemoリヴァーレ,室岡,65,29,6,100,29.0,23.0,6,96,1,2,1,4,4.2,16.0,47.0,28.0,9.0,18.0,11.0,38.0,7.0,28.0,17.0,52.0,0
日立Astemoリヴァーレ,渡邊,10,10,0,20,50.0,50.0,5,128,0,7,0,7,7.6,46.0,51.0,24.0,15.0,12.0,11.0,38.0,31.0,39.0,13.0,83.0,0
日立Astemoリヴァーレ,野中,0,0,0,0,,,0,42,0,0,0,5,4.2,12.0,13.0,12.0,4.0,4.0,5.0,13.0,8.0,9.0,7.0,24.0,0
日立Astemoリヴァーレ,長内,87,48,7,142,33.8,28.9,4,119,3,5,3,22,3.6,27.0,46.0,21.0,14.0,16.0,7.0,37.0,13.0,30.0,14.0,57.0,0
日立Astemoリヴァーレ,雑賀,1,2,1,4,50.0,25.0,1,65,1,1,1,3,8.1,20.0,26.0,15.0,10.0,12.0,4.0,26.0,10.0,14.0,11.0,35.0,3
日立Astemoリヴァーレ,齋藤,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,2
