チーム,選手,アタック,アタック成功:,アタック失敗,アタック打数,アタック決定率,アタック効果率,ブロック成功,サーブ,ノータッチエース,サービスエース,エース,サーブミス,サーブ効果率,レシーブ失敗,レシーブ成功(優),レシーブ成功(良),失敗かつブレイク,優かつブレイク,良かつブレイク,ブレイク,失敗かつ被サイドアウト,優かつ被サイドアウト,良かつ被サイドアウト,被サイドアウト,その他ミス
JTマーヴェラス,芥川,10,12,1,23,52.2,47.8,11,80,3,2,3,6,7.8,19.0,31.0,,7.0,4.0,4.0,15.0,12.0,27.0,17.0,56.0,5
JTマーヴェラス,西崎,0,0,0,0,,,0,25,0,1,0,0,8.0,8.0,11.0,,4.0,6.0,2.0,12.0,4.0,5.0,4.0,13.0,0
JTマーヴェラス,西川,35,29,2,66,43.9,40.9,4,66,3,4,3,3,11.4,21.0,21.0,,17.0,11.0,7.0,35.0,4.0,10.0,11.0,25.0,2
KUROBEアクアフェアリーズ,コクラム,18,5,0,23,21.7,21.7,3,30,0,0,0,2,2.5,5.0,17.0,6.0,2.0,5.0,1.0,8.0,3.0,12.0,5.0,20.0,0
KUROBEアクアフェアリーズ,ラッツ,13,10,3,26,38.5,26.9,3,26,1,1,1,2,8.7,7.0,13.0,3.0,1.0,5.0,2.0,8.0,6.0,8.0,1.0,15.0,1
KUROBEアクアフェアリーズ,小杉,55,17,5,77,22.1,15.6,3,80,1,1,1,6,5.6,20.0,29.0,24.0,6.0,5.0,11.0,22.0,14.0,24.0,13.0,51.0,2
KUROBEアクアフェアリーズ,小西,1,0,0,1,0.0,0.0,1,26,0,0,0,3,1.9,5.0,11.0,7.0,1.0,4.0,5.0,10.0,4.0,7.0,2.0,13.0,0
KUROBEアクアフェアリーズ,山城,13,3,0,16,18.8,18.8,0,53,0,3,0,5,3.3,12.0,24.0,12.0,6.0,11.0,3.0,20.0,6.0,13.0,9.0,28.0,0
KUROBEアクアフェアリーズ,島田,0,3,0,3,100.0,100.0,3,42,0,0,0,3,5.4,12.0,21.0,6.0,7.0,5.0,2.0,14.0,5.0,16.0,4.0,25.0,0
KUROBEアクアフェアリーズ,戸部,7,3,2,12,25.0,8.3,6,46,0,1,0,2,3.8,9.0,26.0,9.0,4.0,4.0,2.0,10.0,5.0,22.0,7.0,34.0,1
KUROBEアクアフェアリーズ,星加,0,0,0,0,,,0,17,0,0,0,0,4.4,3.0,7.0,7.0,1.0,1.0,0.0,2.0,2.0,6.0,7.0,15.0,1
KUROBEアクアフェアリーズ,梅津,19,10,2,31,32.3,25.8,0,27,0,0,0,1,6.5,8.0,9.0,9.0,4.0,4.0,2.0,10.0,4.0,5.0,7.0,16.0,0
KUROBEアクアフェアリーズ,浮島,18,8,2,28,28.6,21.4,0,31,0,0,0,8,0.0,8.0,11.0,4.0,2.0,5.0,1.0,8.0,6.0,6.0,3.0,15.0,1
KUROBEアクアフェアリーズ,立石,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,1
KUROBEアクアフェアリーズ,細沼,14,8,0,22,36.4,36.4,10,47,0,2,0,5,1.1,7.0,23.0,12.0,4.0,2.0,2.0,8.0,3.0,21.0,10.0,34.0,2
KUROBEアクアフェアリーズ,舛田,33,13,3,49,26.5,20.4,0,36,0,1,0,2,6.2,11.0,15.0,8.0,4.0,1.0,1.0,6.0,7.0,14.0,7.0,28.0,0
KUROBEアクアフェアリーズ,菊池,0,0,0,0,,,1,77,0,3,0,2,4.5,16.0,38.0,21.0,3.0,8.0,12.0,23.0,13.0,30.0,9.0,52.0,7
KUROBEアクアフェアリーズ,道下,9,11,0,20,55.0,55.0,3,78,0,0,0,7,6.4,27.0,27.0,17.0,13.0,6.0,2.0,21.0,14.0,21.0,15.0,50.0,0
KUROBEアクアフェアリーズ,金杉,28,10,5,43,23.3,11.6,0,56,0,0,0,3,6.2,17.0,29.0,7.0,9.0,12.0,2.0,24.0,8.0,17.0,5.0,30.0,2
KUROBEアクアフェアリーズ,鈴木,0,0,0,0,,,0,8,0,0,0,1,,,,,,,,,,,,,1
NECレッドロケッツ,ウィルハイト,53,35,2,90,38.9,36.7,7,56,0,1,0,5,6.2,19.0,19.0,12.0,12.0,7.0,2.0,21.0,7.0,12.0,10.0,29.0,0
NECレッドロケッツ,古谷,47,26,4,77,33.8,28.6,3,58,3,2,3,8,6.9,12.0,25.0,10.0,8.0,7.0,5.0,20.0,4.0,18.0,5.0,27.0,1
NECレッドロケッツ,古賀,65,40,6,111,36.0,30.6,5,91,0,2,0,4,7.7,32.0,33.0,22.0,17.0,10.0,9.0,36.0,15.0,23.0,13.0,51.0,2
NECレッドロケッツ,塚田,2,1,0,3,33.3,33.3,1,71,0,0,0,3,3.5,13.0,30.0,25.0,9.0,11.0,11.0,31.0,4.0,19.0,14.0,37.0,4
NECレッドロケッツ,小島,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,1
NECレッドロケッツ,山内,20,7,2,29,24.1,17.2,2,30,0,3,0,3,7.5,12.0,8.0,7.0,6.0,1.0,2.0,9.0,6.0,7.0,5.0,18.0,2
NECレッドロケッツ,山田,19,22,3,44,50.0,43.2,17,164,3,6,3,7,9.5,57.0,55.0,42.0,22.0,24.0,14.0,60.0,35.0,31.0,27.0,93.0,1
NECレッドロケッツ,島村,2,6,0,8,75.0,75.0,4,26,1,0,1,0,13.5,10.0,10.0,5.0,6.0,3.0,1.0,10.0,4.0,7.0,4.0,15.0,0
NECレッドロケッツ,川上,6,3,0,9,33.3,33.3,0,17,0,0,0,0,7.4,5.0,3.0,9.0,3.0,2.0,5.0,10.0,2.0,1.0,4.0,7.0,0
NECレッドロケッツ,廣瀬,23,15,3,41,36.6,29.3,7,35,0,5,0,15,-5.0,8.0,11.0,1.0,4.0,1.0,0.0,5.0,4.0,10.0,1.0,15.0,2
NECレッドロケッツ,曽我,49,28,5,82,34.1,28.0,10,114,2,1,2,7,5.5,24.0,51.0,30.0,16.0,27.0,10.0,53.0,8.0,24.0,20.0,52.0,0
NECレッドロケッツ,柳田,34,26,2,62,41.9,38.7,5,64,2,1,2,5,8.2,18.0,19.0,20.0,12.0,6.0,10.0,28.0,6.0,13.0,10.0,29.0,1
NECレッドロケッツ,澤田,1,1,0,2,50.0,50.0,1,104,0,2,0,3,7.0,32.0,46.0,23.0,21.0,13.0,9.0,43.0,11.0,33.0,14.0,58.0,4
NECレッドロケッツ,甲,6,3,0,9,33.3,33.3,4,35,0,0,0,4,1.4,6.0,19.0,6.0,4.0,6.0,4.0,14.0,2.0,13.0,2.0,17.0,0
NECレッドロケッツ,野嶋,14,14,3,31,45.2,35.5,7,110,4,1,4,9,5.7,18.0,52.0,27.0,10.0,29.0,9.0,48.0,8.0,23.0,18.0,49.0,1
PFUブルーキャッツ,ジャン,38,31,5,74,41.9,35.1,10,145,4,3,4,17,4.8,29.0,70.0,25.0,20.0,28.0,12.0,60.0,9.0,42.0,13.0,64.0,5
PFUブルーキャッツ,バルデス,59,41,3,103,39.8,36.9,9,134,5,6,5,21,4.5,25.0,56.0,27.0,14.0,19.0,7.0,40.0,11.0,37.0,20.0,68.0,4
PFUブルーキャッツ,合屋,1,0,0,1,0.0,0.0,0,0,0,0,0,0,,,,,,,,,,,,,0
PFUブルーキャッツ,堀口,4,3,0,7,42.9,42.9,0,23,0,0,0,2,2.2,4.0,10.0,7.0,1.0,4.0,1.0,6.0,3.0,6.0,6.0,15.0,0
PFUブルーキャッツ,山下,1,0,0,1,0.0,0.0,0,28,0,0,0,5,1.8,7.0,12.0,4.0,5.0,4.0,1.0,10.0,2.0,8.0,3.0,13.0,1
PFUブルーキャッツ,志摩,60,21,8,89,23.6,14.6,7,113,1,4,1,9,4.2,24.0,55.0,24.0,10.0,18.0,10.0,38.0,14.0,37.0,14.0,65.0,2
PFUブルーキャッツ,有田,0,0,0,0,,,0,2,0,0,0,1,,,,,,,,,,,,,0
PFUブルーキャッツ,村上,0,1,0,1,100.0,100.0,0,0,0,0,0,0,,,,,,,,,,,,,0
PFUブルーキャッツ,渡邊,2,2,0,4,50.0,50.0,0,5,0,0,0,1,,,,,,,,,,,,,0
PFUブルーキャッツ,瀬戸,0,0,0,0,,,0,1,0,0,0,1,,,,,,,,,,,,,0
PFUブルーキャッツ,田原,5,4,0,9,44.4,44.4,0,106,4,5,4,11,6.8,24.0,38.0,28.0,9.0,10.0,13.0,33.0,15.0,28.0,15.0,58.0,5
PFUブルーキャッツ,綿引,16,3,3,22,13.6,0.0,25,123,1,6,1,4,4.9,24.0,65.0,29.0,12.0,15.0,9.0,36.0,12.0,50.0,20.0,82.0,2
PFUブルーキャッツ,鍋谷,60,28,2,90,31.1,28.9,10,117,1,2,1,10,5.1,30.0,54.0,22.0,15.0,17.0,10.0,42.0,15.0,37.0,12.0,64.0,2
PFUブルーキャッツ,高相,25,12,1,38,31.6,28.9,3,47,1,3,1,6,4.3,10.0,22.0,8.0,4.0,8.0,1.0,13.0,6.0,14.0,7.0,27.0,0
デンソーエアリービーズ,アコスタ,53,25,4,82,30.5,25.6,5,40,0,0,0,2,3.1,7.0,24.0,7.0,2.0,5.0,1.0,8.0,5.0,19.0,6.0,30.0,0
デンソーエアリービーズ,ブンダサック,1,0,0,1,0.0,0.0,2,8,0,0,0,1,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,0
デンソーエアリービーズ,中元,81,46,13,140,32.9,23.6,2,151,0,4,0,13,4.3,39.0,59.0,39.0,21.0,28.0,18.0,68.0,18.0,31.0,21.0,70.0,1
デンソーエアリービーズ,佐藤,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,0
デンソーエアリービーズ,兵頭,94,44,8,146,30.1,24.7,7,141,0,3,0,3,4.1,26.0,73.0,39.0,18.0,29.0,15.0,62.0,8.0,44.0,24.0,76.0,2
デンソーエアリービーズ,工藤,103,55,5,163,33.7,30.7,4,160,1,6,1,15,5.9,49.0,57.0,38.0,34.0,13.0,14.0,61.0,15.0,44.0,24.0,83.0,0
デンソーエアリービーズ,東谷,10,4,2,16,25.0,12.5,1,6,0,0,0,1,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0,0
デンソーエアリービーズ,松井,6,7,1,14,50.0,42.9,5,145,0,5,0,11,3.1,29.0,65.0,40.0,18.0,27.0,19.0,64.0,11.0,38.0,21.0,70.0,1
デンソーエアリービーズ,森谷,17,11,2,30,36.7,30.0,10,152,1,4,1,13,5.9,45.0,55.0,38.0,26.0,13.0,12.0,51.0,19.0,42.0,26.0,87.0,1
デンソーエアリービーズ,横田,41,24,2,67,35.8,32.8,17,125,2,3,2,10,6.4,34.0,52.0,27.0,16.0,13.0,11.0,40.0,18.0,39.0,16.0,73.0,2
デンソーエアリービーズ,積山,0,0,0,0,,,0,3,0,0,0,1,-8.3,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
デンソーエアリービーズ,高橋,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,0
デンソーエアリービーズ,麻野,0,0,0,0,,,0,1,0,0,0,0,,,,,,,,,,,,,0
トヨタ車体クインシーズ,ケルシー,67,40,6,113,35.4,30.1,3,109,2,4,2,9,8.7,39.0,45.0,14.0,20.0,12.0,2.0,34.0,19.0,33.0,12.0,64.0,0
トヨタ車体クインシーズ,ハッタヤ,19,11,2,32,34.4,28.1,13,84,4,4,4,5,9.2,20.0,30.0,25.0,6.0,7.0,8.0,21.0,14.0,23.0,17.0,54.0,1
トヨタ車体クインシーズ,中屋,21,7,2,30,23.3,16.7,1,32,2,0,2,4,9.4,8.0,14.0,4.0,2.0,3.0,2.0,7.0,6.0,11.0,2.0,19.0,1
トヨタ車体クインシーズ,加地,0,0,0,0,,,0,10,0,0,0,4,-7.5,1.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,4.0,0
トヨタ車体クインシーズ,周田,4,2,0,6,33.3,33.3,3,71,1,7,1,12,3.2,17.0,23.0,18.0,4.0,4.0,8.0,16.0,13.0,19.0,10.0,42.0,1
トヨタ車体クインシーズ,大川,5,1,1,7,14.3,0.0,0,7,0,0,0,0,,,,,,,,,,,,,0
トヨタ車体クインシーズ,山上,6,2,0,8,25.0,25.0,4,101,1,4,1,6,6.2,27.0,51.0,15.0,11.0,15.0,4.0,31.0,16.0,36.0,11.0,63.0,4
トヨタ車体クインシーズ,山形,0,0,0,0,,,0,9,0,0,0,0,5.6,2.0,5.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,7.0,2
トヨタ車体クインシーズ,杉原,6,5,0,11,45.5,45.5,2,70,0,1,0,7,4.6,20.0,25.0,18.0,11.0,6.0,4.0,21.0,9.0,19.0,14.0,42.0,0
トヨタ車体クインシーズ,松本,3,1,1,5,20.0,0.0,3,25,0,2,0,4,1.0,5.0,11.0,5.0,2.0,3.0,1.0,6.0,3.0,8.0,4.0,15.0,1
トヨタ車体クインシーズ,稲葉,4,2,0,6,33.3,33.3,0,14,0,0,0,2,1.8,3.0,6.0,3.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,7.0,0
トヨタ車体クインシーズ,舟根,0,0,0,0,,,0,3,0,0,0,0,16.7,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0
トヨタ車体クインシーズ,藪田,62,20,6,88,22.7,15.9,4,116,3,4,3,12,9.9,46.0,41.0,14.0,21.0,9.0,5.0,35.0,25.0,32.0,9.0,66.0,0
トヨタ車体クインシーズ,鴫原,6,3,5,14,21.4,-14.3,0,34,0,4,0,7,0.7,8.0,11.0,8.0,3.0,2.0,4.0,9.0,5.0,9.0,4.0,18.0,1
トヨタ車体クインシーズ,黒須,21,13,10,44,29.5,6.8,0,82,0,0,0,6,3.4,17.0,42.0,17.0,5.0,14.0,6.0,25.0,12.0,28.0,11.0,51.0,0
久光スプリングス,アキンラデウォ,6,18,1,25,72.0,68.0,14,77,1,1,1,9,3.6,16.0,36.0,15.0,9.0,11.0,6.0,26.0,7.0,25.0,9.0,41.0,0
久光スプリングス,中川,45,25,5,75,33.3,26.7,5,94,1,3,1,3,7.2,26.0,43.0,21.0,14.0,14.0,9.0,37.0,12.0,29.0,12.0,53.0,2
久光スプリングス,井上(愛),68,53,4,125,42.4,39.2,10,96,1,4,1,4,7.8,30.0,40.0,21.0,20.0,13.0,8.0,41.0,10.0,27.0,13.0,50.0,2
久光スプリングス,井上(美),1,0,0,1,0.0,0.0,0,42,1,1,1,5,7.7,14.0,15.0,7.0,9.0,9.0,1.0,19.0,5.0,6.0,6.0,17.0,0
久光スプリングス,今村,46,28,8,82,34.1,24.4,2,60,1,1,1,10,2.1,11.0,28.0,10.0,7.0,8.0,3.0,18.0,4.0,20.0,7.0,31.0,2
久光スプリングス,加藤,10,5,2,17,29.4,17.6,1,26,0,0,0,3,6.7,10.0,10.0,3.0,5.0,3.0,2.0,10.0,5.0,7.0,1.0,13.0,0
久光スプリングス,大竹,4,6,1,11,54.5,45.5,11,89,1,3,1,4,5.3,19.0,41.0,24.0,8.0,13.0,4.0,25.0,11.0,28.0,20.0,59.0,0
久光スプリングス,平山,1,0,0,1,0.0,0.0,1,46,1,4,1,4,8.2,15.0,20.0,6.0,6.0,6.0,4.0,16.0,9.0,14.0,2.0,25.0,0
久光スプリングス,栄,1,1,0,2,50.0,50.0,1,140,0,4,0,1,5.5,32.0,72.0,35.0,18.0,34.0,15.0,67.0,14.0,38.0,20.0,72.0,3
久光スプリングス,濱松,7,9,3,19,47.4,31.6,7,69,0,2,0,14,0.0,14.0,26.0,15.0,4.0,12.0,3.0,19.0,10.0,14.0,12.0,36.0,1
久光スプリングス,白澤,16,9,1,26,34.6,30.8,3,46,0,0,0,5,4.9,14.0,20.0,7.0,12.0,10.0,2.0,24.0,2.0,10.0,5.0,17.0,0
久光スプリングス,石井,43,18,3,64,28.1,23.4,4,67,1,2,1,6,6.7,20.0,21.0,21.0,13.0,8.0,5.0,26.0,7.0,13.0,16.0,36.0,0
久光スプリングス,野本,41,20,5,66,30.3,22.7,2,49,3,3,3,6,9.2,12.0,18.0,10.0,3.0,5.0,5.0,13.0,9.0,13.0,5.0,27.0,0
久光スプリングス,長岡,4,4,0,8,50.0,50.0,0,5,0,0,0,0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,0
埼玉上尾メディックス,サンティアゴ,24,25,0,49,51.0,51.0,14,105,1,4,1,17,2.1,22.0,43.0,,8.0,10.0,13.0,31.0,14.0,33.0,9.0,56.0,4
埼玉上尾メディックス,ロレンネ,44,27,7,78,34.6,25.6,6,110,3,7,3,11,6.1,26.0,53.0,,14.0,22.0,4.0,40.0,12.0,31.0,13.0,56.0,3
埼玉上尾メディックス,仁井田,0,0,0,0,,,0,3,0,0,0,0,,,,,,,,,,,,,0
埼玉上尾メディックス,佐藤,86,50,9,145,34.5,28.3,5,125,2,4,2,21,1.6,21.0,56.0,,11.0,22.0,11.0,44.0,10.0,33.0,14.0,57.0,1
埼玉上尾メディックス,内瀬戸,95,50,8,153,32.7,27.5,10,150,1,2,1,21,0.3,19.0,91.0,,10.0,36.0,9.0,55.0,9.0,55.0,9.0,73.0,2
埼玉上尾メディックス,山口,20,22,4,46,47.8,39.1,3,47,1,1,1,1,5.9,8.0,26.0,,4.0,10.0,4.0,18.0,4.0,16.0,7.0,27.0,0
埼玉上尾メディックス,山岸,0,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,0
埼玉上尾メディックス,山崎,1,2,0,3,66.7,66.7,10,153,0,2,0,8,1.6,18.0,90.0,,9.0,34.0,22.0,65.0,9.0,56.0,15.0,80.0,6
埼玉上尾メディックス,岩澤,0,0,0,0,,,0,60,0,0,0,5,3.3,13.0,30.0,,7.0,15.0,4.0,26.0,6.0,15.0,8.0,29.0,0
埼玉上尾メディックス,椎名,16,8,0,24,33.3,33.3,2,16,0,2,0,1,0.0,1.0,11.0,,1.0,2.0,0.0,3.0,0.0,9.0,3.0,12.0,1
埼玉上尾メディックス,権田,0,1,0,1,100.0,100.0,0,5,0,0,0,2,-10.0,0.0,3.0,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0
埼玉上尾メディックス,目黒,1,2,0,3,66.7,66.7,0,16,0,0,0,3,-1.6,2.0,8.0,,1.0,4.0,1.0,6.0,1.0,4.0,2.0,7.0,0
埼玉上尾メディックス,鈴木,2,1,0,3,33.3,33.3,0,7,0,0,0,2,-3.6,1.0,4.0,,1.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0
埼玉上尾メディックス,鎌田,0,1,0,1,100.0,100.0,0,35,0,0,0,5,1.4,7.0,15.0,,4.0,7.0,2.0,13.0,3.0,8.0,6.0,17.0,2
埼玉上尾メディックス,青柳,28,13,1,42,31.0,28.6,5,96,1,0,1,6,4.2,18.0,51.0,,8.0,9.0,9.0,26.0,10.0,42.0,11.0,63.0,1
岡山シーガルズ,中本,22,14,1,37,37.8,35.1,2,41,0,0,0,1,4.9,9.0,19.0,13.0,3.0,4.0,4.0,11.0,6.0,15.0,8.0,29.0,0
岡山シーガルズ,付,8,2,1,11,18.2,9.1,3,27,0,0,0,1,3.7,5.0,15.0,6.0,3.0,2.0,0.0,5.0,2.0,13.0,6.0,21.0,0
岡山シーガルズ,佐藤,37,26,5,68,38.2,30.9,1,57,1,0,1,3,5.7,12.0,31.0,10.0,2.0,9.0,0.0,11.0,10.0,22.0,10.0,42.0,0
岡山シーガルズ,前田,10,3,2,15,20.0,6.7,1,10,0,0,0,1,0.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,8.0,0
岡山シーガルズ,及川,22,6,0,28,21.4,21.4,7,65,2,2,2,3,7.7,15.0,27.0,18.0,6.0,9.0,5.0,20.0,9.0,18.0,13.0,40.0,1
岡山シーガルズ,吉岡,63,24,2,89,27.0,24.7,3,82,0,1,0,1,7.6,26.0,31.0,24.0,7.0,9.0,12.0,28.0,19.0,22.0,12.0,53.0,1
岡山シーガルズ,城戸,0,0,0,0,,,0,1,0,0,0,0,,,,,,,,,,,,,0
岡山シーガルズ,宇賀神,0,0,0,0,,,2,32,0,0,0,0,1.6,2.0,20.0,10.0,1.0,5.0,4.0,10.0,1.0,15.0,6.0,22.0,0
