No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
1,,オケケアルメソマチ,3,■,■,■,,,12,7,0,58.3,2.33,0,0,0,-,2,0.67,6,0,0,3,12.5,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
2,,前田美紅,3,□,□,□,,,5,2,0,40.0,0.67,1,0,0,0.0,0,-,1,0,0,0,0.0,2,2.0,0.0,100.0,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
3,,木村友里,3,■,■,■,,,14,6,1,42.9,2.00,1,0,0,0.0,0,-,14,0,1,4,5.4,15,9.0,3.0,70.0,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
4,,菅原里奈,3,■,■,■,,,13,5,0,38.5,1.67,0,0,0,-,0,-,8,0,0,4,12.5,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
5,,投野ひかる,3,■,■,■,,,2,0,0,0.0,-,0,0,0,-,0,-,12,1,2,4,12.5,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
6,,宮本菜月,2,,□,□,,,8,3,2,37.5,1.50,2,0,2,0.0,1,0.50,3,0,1,1,0.0,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
7,,伊藤摩耶,3,■,■,■,,,19,11,1,57.9,3.67,0,0,0,-,3,1.00,15,2,0,7,25.0,1,1.0,0.0,100.0,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
9,,草島華穂,1,□,,,,,1,0,0,0.0,-,1,0,0,0.0,0,-,3,1,0,0,33.3,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
10,,柳沢紫子,1,□,,,,,2,1,0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
11,,尾花佳甫,1,,,□,,,1,1,0,100.0,1.00,0,0,0,-,1,1.00,0,0,0,0,-,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
12,,石盛めるも,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,7,1,0,4,28.6,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
13,,原田栞里,3,■,■,■,,,20,8,2,40.0,2.67,3,1,0,33.3,3,1.00,5,0,1,1,0.0,19,9.0,4.0,57.9,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
14,L,長尾のどか,2,,〇,〇,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
15,L,溝口由利香,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,3,1.0,0.0,33.3,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,千葉エンゼルクロス,北原勉,前田和哉,3,0,3,Win,75,42,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Home
3,,黒田夢乃,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,5,2.0,1.0,50.0,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
4,,石川綾菜,3,■,■,■,,,29,10,4,34.5,3.33,1,0,0,0.0,0,-,6,0,2,0,-8.3,27,7.0,7.0,38.9,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
5,,森田紫,3,■,■,■,,,15,3,1,20.0,1.00,0,0,0,-,1,0.33,6,0,1,1,0.0,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
6,,君島彩,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
8,,森田実夢,1,,□,,,,2,0,0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,2,0.0,1.0,25.0,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
9,,岡村真衣,3,■,■,□,,,0,0,0,-,-,0,0,0,-,0,-,6,0,0,1,4.2,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
