No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away
11,,関根友香,3,■,■,■,,,5,2,0,40.0,0.67,0,0,0,-,0,-,9,0,0,3,8.3,1,1.0,0.0,100.0,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
12,,吉田奈未,3,□,□,■,,,14,5,1,35.7,1.67,0,0,0,-,0,-,2,0,0,1,12.5,9,1.0,3.0,27.8,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
14,L,鶴ヶ崎佳寿葉,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,7,4.0,0.0,57.1,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
15,,中島優花,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
16,,名原寧音,3,□,□,■,,,2,1,0,50.0,0.33,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
19,,鶴田佳菜,3,■,■,■,,,30,3,3,10.0,1.00,3,0,1,0.0,0,-,9,0,0,3,8.3,10,4.0,2.0,50.0,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
21,,松原南,3,■,■,□,,,12,3,0,25.0,1.00,0,0,0,-,0,-,2,0,0,1,12.5,6,2.0,1.0,41.7,711,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,千葉エンゼルクロス,プレステージ・インターナショナルアランマーレ,豆田憲昭,荒木優,0,3,3,Lose,42,75,64,13:00,14:17,530,斎藤 篤,饗庭和恵,渡部 修,水島 章,Away
2,L,吉岡みなみ,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,10,3.0,3.0,45.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
4,,クラリッチカルラ,2,□,□,,,,2,1,0,50.0,0.50,0,0,0,-,2,1.00,1,0,0,0,0.0,6,4.0,1.0,75.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
5,,田中瑠奈,3,■,■,■,,,45,18,4,40.0,6.00,4,2,1,50.0,3,1.00,17,3,0,10,32.4,1,0.0,1.0,50.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
6,,古市彩音,2,□,□,,,,2,1,0,50.0,0.50,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
7,,寺坂茜,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
8,,中田唯香,3,■,■,■,,,9,3,3,33.3,1.00,1,0,0,0.0,1,0.33,20,0,0,8,10.0,19,12.0,4.0,73.7,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
10,,新井祥,3,■,■,■,,,22,10,3,45.5,3.33,3,0,1,0.0,0,-,10,0,0,8,20.0,15,8.0,5.0,70.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
12,,小林知加,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
13,,清水愛,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
14,,栗栖留生,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
15,,松尾奈津子,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,0,-,5,0,1,0,-5.0,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
16,,安福若菜,3,■,■,■,,,13,6,0,46.2,2.00,0,0,0,-,2,0.67,8,0,0,1,3.1,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
17,,伊藤寿奈,3,■,■,■,,,28,10,2,35.7,3.33,0,0,0,-,0,-,8,0,2,5,9.4,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
18,,藤原愛,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,群馬銀行グリーンウイングス,リガーレ仙台,高橋悠,丸山佳穂,3,0,3,Win,75,56,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Home
1,,杉浦文香,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
2,,小松泉穂,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
3,,宮田あかり,2,,□,■,,,5,0,0,0.0,-,0,0,0,-,2,1.00,6,0,0,0,0.0,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
4,,小澤史苑,3,■,■,■,,,19,2,2,10.5,0.67,0,0,0,-,1,0.33,7,0,0,1,3.6,12,5.0,1.0,45.8,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
5,L,佐藤あり紗,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,8.0,3.0,73.1,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
6,,清和真奈美,2,□,□,,,,3,0,0,0.0,-,0,0,0,-,0,-,4,0,0,0,0.0,5,1.0,0.0,20.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
7,,大貫菜生,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
8,,高野唯,3,■,■,■,,,25,5,1,20.0,1.67,0,0,0,-,0,-,7,2,0,2,35.7,21,4.0,5.0,31.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
9,,加藤優奈,3,■,■,■,,,2,0,1,0.0,-,0,0,0,-,0,-,10,0,1,2,2.5,0,0.0,0.0,-,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
10,,渡邉優,3,■,■,□,,,19,9,1,47.4,3.00,0,0,0,-,0,-,10,0,3,1,-5.0,12,2.0,2.0,25.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
11,,末永真由,3,■,■,■,,,33,11,0,33.3,3.67,0,0,0,-,0,-,8,0,0,2,6.2,2,1.0,0.0,50.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
12,,江川優貴,3,■,■,■,,,21,7,1,33.3,2.33,0,0,0,-,0,-,5,0,2,0,-10.0,5,1.0,1.0,30.0,712,2021-10-30,2021,10,30,山形県,酒田市国体記念体育館,リガーレ仙台,群馬銀行グリーンウイングス,佐藤あり紗,渡辺将嵩,0,3,3,Lose,56,75,71,15:00,16:17,320,斎藤篤,桑原健輔,斎藤隆介,佐々木一孝,Away
1,,オケケアルメソマチ,3,■,■,■,,,21,7,3,33.3,2.33,2,0,0,0.0,1,0.33,5,1,0,2,30.0,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
2,,前田美紅,3,□,□,□,,,1,0,0,0.0,-,0,0,0,-,0,-,3,0,0,0,0.0,3,2.0,1.0,83.3,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
3,,木村友里,3,■,■,■,,,30,7,0,23.3,2.33,2,0,0,0.0,1,0.33,11,0,0,2,4.5,16,9.0,2.0,62.5,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
4,,菅原里奈,3,■,■,■,,,15,5,2,33.3,1.67,0,0,0,-,5,1.67,9,0,0,4,11.1,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
5,,投野ひかる,3,■,■,■,,,1,1,0,100.0,0.33,0,0,0,-,1,0.33,8,0,1,4,9.4,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
6,,宮本菜月,3,□,□,□,,,11,1,0,9.1,0.33,0,0,0,-,2,0.67,4,0,0,2,12.5,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
7,,伊藤摩耶,3,■,■,■,,,19,5,1,26.3,1.67,0,0,0,-,3,1.00,17,1,1,4,10.3,2,2.0,0.0,100.0,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
9,,草島華穂,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
10,,柳沢紫子,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
11,,尾花佳甫,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
12,,石盛めるも,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
13,,原田栞里,3,■,■,■,,,29,11,2,37.9,3.67,3,2,0,66.7,1,0.33,15,0,1,8,11.7,18,4.0,6.0,38.9,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
14,L,長尾のどか,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
15,L,溝口由利香,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,6.0,1.0,50.0,715,2021-10-31,2021,10,31,山形県,酒田市国体記念体育館,プレステージ・インターナショナルアランマーレ,リガーレ仙台,北原勉,前田和哉,3,0,3,Win,75,54,74,13:00,14:27,510,斎藤篤,饗庭和恵,斎藤隆介,佐々木一孝,Home
