背番号,リベロ,選手,出場セット,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック平均セット,Bアタック打数,Bアタック得点,Bアタック失点,Bアタック決定率,ブロック得点,ブロック平均セット,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,サーブレシーブ受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2,L,奥平 祐介,3,●,●,●,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,7.0,0.0,46.7
3,,明石 良介,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,0,0,3,15.0,0,0.0,0.0,-
7,,田畑 翔伍,3,■,■,■,,,14,5,3,35.7,1.67,1,0,1,0.0,1,0.33,9,1,1,0,11.1,18,11.0,0.0,61.1
10,,松本 永志,3,■,■,■,,,30,17,2,56.7,5.67,8,4,0,50.0,1,0.33,19,1,3,8,14.7,0,0.0,0.0,-
11,,塩 大地,3,■,■,■,,,14,9,1,64.3,3.00,0,0,0,-,4,1.33,4,0,1,0,0.0,1,1.0,0.0,100.0
13,L,山下 栄和,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
15,,小野 義隆,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
17,,本多 尚也,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
19,,橋本 峻介,3,■,■,■,,,6,3,1,50.0,1.00,0,0,0,-,0,-,9,0,1,2,5.6,0,0.0,0.0,-
20,,毛利 光生,3,■,■,■,,,2,2,0,100.0,0.67,0,0,0,-,2,0.67,11,0,1,2,4.5,0,0.0,0.0,-
24,,森田 有智夢,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
25,,平田 英貴,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-
26,,山本 寛生,3,□,□,□,,,0,0,0,-,-,0,0,0,-,0,-,5,1,1,1,25.0,0,0.0,0.0,-
27,,岡本 侑,3,■,■,■,,,18,8,1,44.4,2.67,1,0,0,0.0,0,-,11,0,2,1,2.3,20,18.0,0.0,90.0
チーム合計,チーム合計,チーム合計,3,,,,,,84,44,8,52.4,14.67,10,4,1,40.0,8,2.67,73,3,10,17,9.7,54,37.0,0.0,68.5
