,No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time
1,1,,藤中優斗,4,■,■,■,■,,14,2,0,14.3,0.50,1,0,0,0.0,0,-,13,0,1,3,3.8,21,4.0,8.0,38.1,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
2,2,,金丸晃大,2,,□,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
3,3,,伏見大和,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
4,4,,福山汰一,4,■,■,■,■,,10,6,1,60.0,1.50,0,0,0,-,3,0.75,25,2,1,9,16.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
5,5,,饒書涵,4,■,■,■,■,,13,9,1,69.2,2.25,0,0,0,-,2,0.50,8,0,2,1,-3.1,1,1.0,0.0,100.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
6,6,,フォンテレスフェリペ,4,■,■,■,■,,18,7,1,38.9,1.75,6,4,0,66.7,1,0.25,16,1,4,6,9.4,36,11.0,12.0,47.2,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
7,7,,柳澤広平,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
8,10,,小林光輝,4,■,■,■,■,,1,0,0,0.0,-,0,0,0,-,1,0.25,11,0,0,2,4.5,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
9,11,,袴谷亮介,2,□,,□,,,0,0,0,-,-,0,0,0,-,0,-,2,0,2,0,-25.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
10,12,L,興梠亮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
11,14,,西田有志,4,■,■,■,■,,45,26,0,57.8,6.50,20,13,0,65.0,4,1.00,16,0,5,6,1.6,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
12,16,,久保山尚,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
13,17,L,本間隆太,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,9,4.0,4.0,66.7,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
14,19,,浅野博亮,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ジェイテクトSTINGS,ウルフドッグス名古屋,高橋慎治,若山智昭,3,1,4,Win,106
1,1,,山田脩造,4,■,■,■,■,,9,2,1,22.2,0.50,0,0,0,-,0,-,14,0,3,6,5.4,16,5.0,6.0,50.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
2,2,,山近哲,4,■,■,■,■,,6,1,0,16.7,0.25,0,0,0,-,0,-,6,0,1,1,0.0,0,0.0,0.0,-,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
3,3,,クレクバルトシュ,4,■,■,■,■,,47,24,4,51.1,6.00,13,8,1,61.5,1,0.25,12,0,5,2,-6.2,1,0.0,0.0,0.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
4,5,,前田一誠,4,■,■,■,■,,0,0,0,-,-,0,0,0,-,2,0.50,15,0,2,4,3.3,1,0.0,0.0,0.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
5,6,,近裕崇,4,■,■,■,■,,10,7,0,70.0,1.75,0,0,0,-,1,0.25,14,1,1,2,8.9,1,1.0,0.0,100.0,161,2020-12-04,2020,12,04,愛知県,刈谷市総合運動公園体育館,ウルフドッグス名古屋,ジェイテクトSTINGS,ﾃｨﾘｶｲﾈﾝﾄﾐｰ,ｳﾞｫﾘﾈﾝｶｽﾍﾟﾙ,1,3,4,Lose,106
