No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time
8,,筒井匠,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
9,,前田将武,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,1,1,0.0,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
10,,川畑貴裕,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
12,,川副大海,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
16,,小堀優,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
17,,茂木祐太,4,■,■,■,■,,26,13,1,50.0,3.25,0,0,0,-,0,-,9,0,1,0,-2.8,19,12.0,2.0,68.4,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
18,,三浦一真,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
19,,堀内雄斗,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,1.0,0.0,100.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
1,,上場雄也,4,■,■,■,■,,43,22,2,51.2,5.50,17,8,2,47.1,1,0.25,11,0,3,3,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
2,,浜崎勇矢,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,0,-,13,0,1,2,1.9,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
4,,阿部航平,4,■,■,■,■,,7,3,0,42.9,0.75,0,0,0,-,5,1.25,20,0,2,4,2.5,1,1.0,0.0,100.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
5,,廣瀬優希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
6,,瀧澤陽紀,3,,□,□,□,,4,3,0,75.0,1.00,1,1,0,100.0,0,-,4,0,1,1,0.0,1,0.0,0.0,0.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
8,,曹海倫,4,■,■,■,■,,18,9,1,50.0,2.25,0,0,0,-,4,1.00,8,0,4,0,-12.5,1,1.0,0.0,100.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
10,,鎌田敏弥,2,,,□,□,,1,1,0,100.0,0.50,0,0,0,-,0,-,1,0,1,0,-25.0,1,1.0,0.0,100.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
12,,土井友登,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
13,L,新垣東麻,1,,,,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
14,,勝本真太郎,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,2,1,-5.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
20,,満生大輝,4,■,■,■,■,,18,11,2,61.1,2.75,2,2,0,100.0,2,0.50,16,0,2,7,7.8,21,12.0,1.0,59.5,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
22,L,関谷拓巳,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,1.0,46.9,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
23,,曽田一也,4,■,■,■,■,,10,2,2,20.0,0.50,0,0,0,-,1,0.25,18,0,0,4,5.6,19,13.0,4.0,78.9,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
26,,鈴木匡教,2,□,□,,,,3,2,0,66.7,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,97
1,,岡本侑,4,■,■,■,■,,22,9,1,40.9,2.25,2,2,0,100.0,0,-,6,0,3,0,-12.5,30,19.0,4.0,70.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
3,L,長濱裕,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,6.0,9.0,52.5,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
5,L,大賀惠介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
6,,庄司練,1,■,,,,,7,2,2,28.6,2.00,0,0,0,-,0,-,2,0,0,2,25.0,1,0.0,0.0,0.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
7,,田畑翔伍,3,,□,□,■,,3,0,0,0.0,-,0,0,0,-,1,0.33,1,0,0,1,25.0,8,4.0,1.0,56.2,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
9,,内園徹,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,7,1,0,4,28.6,5,2.0,1.0,50.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
11,,毛利光生,4,■,■,■,■,,3,1,0,33.3,0.25,0,0,0,-,0,-,12,0,2,2,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
12,,新谷俊揮,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,1,0.0,0.0,0.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
14,,谷川結人,4,■,■,■,■,,32,9,5,28.1,2.25,6,3,0,50.0,0,-,13,2,5,4,13.5,8,5.0,1.0,68.8,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
15,,古川一輝,1,,,,□,,1,1,0,100.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
17,,和治裕太,4,■,■,■,■,,17,6,0,35.3,1.50,0,0,0,-,1,0.25,13,1,5,2,1.9,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
18,,三木裕人,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,7,4.0,2.0,71.4,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
21,,小林空,3,■,■,■,,,20,7,1,35.0,2.33,4,1,0,25.0,1,0.33,12,2,1,4,22.9,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
23,,福井裕貴,3,,■,■,■,,12,6,2,50.0,2.00,0,0,0,-,0,-,10,0,0,0,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,97
1,,酒井駿,4,■,■,■,■,,37,16,6,43.2,4.00,4,2,1,50.0,2,0.50,14,0,1,1,0.0,21,8.0,6.0,52.4,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
2,,鰐川怜児,4,■,■,■,■,,9,5,0,55.6,1.25,0,0,0,-,1,0.25,12,0,3,2,-2.1,1,0.0,1.0,50.0,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
3,L,三角尚久,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
4,,渡部勇人,4,■,■,■,□,,1,0,0,0.0,-,0,0,0,-,0,-,16,1,1,2,7.8,1,0.0,0.0,0.0,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
5,,浅田潮,4,■,■,■,■,,18,5,2,27.8,1.25,0,0,0,-,2,0.50,15,0,0,6,10.0,27,10.0,3.0,42.6,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
6,,松下祐太,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,4.0,1.0,75.0,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
7,,石坂ハスナヌ,4,■,■,■,■,,14,6,3,42.9,1.50,0,0,0,-,4,1.00,13,0,1,1,0.0,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
8,,笹岡凪斗,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
9,,高瀬太一,4,■,■,■,■,,24,13,5,54.2,3.25,10,7,2,70.0,0,-,9,0,2,3,2.8,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
10,,柳生大成,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
12,L,山田広大,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,6.0,62.5,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
14,,高井大輝,3,□,,□,■,,0,0,0,-,-,0,0,0,-,0,-,6,0,0,1,4.2,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
15,,曾根裕也,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,96
1,,青島賢司,1,□,,,,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
2,L,神園時,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,12.0,2.0,65.0,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
3,,河西智洋,3,□,□,,□,,1,1,0,100.0,0.33,1,1,0,100.0,0,-,2,0,2,0,-25.0,7,3.0,3.0,64.3,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
4,,奥田基嗣,4,■,■,■,■,,16,9,0,56.2,2.25,0,0,0,-,2,0.50,14,0,5,4,-1.8,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
5,,吉田康祐,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
6,,阿部誠樹,4,■,■,■,■,,28,8,4,28.6,2.00,8,2,1,25.0,1,0.25,21,1,2,8,11.9,34,20.0,7.0,69.1,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
9,,小林洸,3,,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,4,0,1,2,6.2,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
10,,三浦拓,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
11,,十良澤太一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
14,,山口拓馬,4,■,■,■,■,,33,13,3,39.4,3.25,12,4,2,33.3,0,-,15,0,5,3,-3.3,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
16,L,桝谷周呈,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
17,,森元貴哉,4,■,■,■,■,,35,13,2,37.1,3.25,4,1,1,25.0,3,0.75,9,0,4,0,-11.1,20,10.0,7.0,67.5,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
20,,佐藤陸善,4,■,■,■,■,,1,1,0,100.0,0.25,0,0,0,-,0,-,18,0,2,6,5.6,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
22,,柏田樹,4,■,■,■,■,,22,15,0,68.2,3.75,0,0,0,-,2,0.50,10,0,1,2,2.5,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,サフィルヴァ北海道,長野GaRons,上杉徹,,3,1,4,Win,96
0,,越川優,4,■,■,■,■,,18,8,0,44.4,2.00,1,0,0,0.0,2,0.50,11,0,2,2,0.0,22,10.0,5.0,56.8,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,95
3,,田城貴之,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,95
5,,家近滉一,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,95
6,,本澤凌斗,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,95
7,,関根俊哉,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,95
9,,加藤伊織,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,95
10,L,白石啓丈,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,13,9.0,1.0,73.1,504,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,ヴォレアス北海道,ヴィアティン三重,ｴﾄﾞｸﾗｲﾝ,中田桂太郎,3,1,4,Win,95
