No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time
1,,上場雄也,4,■,■,■,■,,45,20,5,44.4,5.00,9,4,1,44.4,2,0.50,15,1,2,4,10.0,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
2,,浜崎勇矢,4,■,■,■,■,,3,1,1,33.3,0.25,0,0,0,-,0,-,10,0,1,1,0.0,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
4,,阿部航平,4,■,■,■,■,,10,4,0,40.0,1.00,0,0,0,-,5,1.25,13,0,3,3,0.0,1,1.0,0.0,100.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
5,,廣瀬優希,4,■,■,■,■,,23,12,3,52.2,3.00,0,0,0,-,3,0.75,8,0,2,1,-3.1,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
6,,瀧澤陽紀,2,,□,,□,,6,2,0,33.3,1.00,0,0,0,-,0,-,3,0,2,1,-8.3,10,6.0,3.0,75.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
8,,曹海倫,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
10,,鎌田敏弥,1,,,,□,,4,3,0,75.0,3.00,1,1,0,100.0,0,-,3,0,1,2,8.3,2,1.0,0.0,50.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
12,,土井友登,2,,,□,□,,0,0,0,-,-,0,0,0,-,0,-,7,1,0,2,21.4,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
13,L,新垣東麻,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
14,,勝本真太郎,3,□,□,,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
20,,満生大輝,4,■,■,■,■,,24,9,4,37.5,2.25,5,1,2,20.0,0,-,10,1,5,2,2.5,23,18.0,3.0,84.8,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
22,L,関谷拓巳,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,15,7.0,4.0,60.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
23,,曽田一也,4,■,■,■,■,,12,1,1,8.3,0.25,0,0,0,-,0,-,12,0,0,1,2.1,41,21.0,9.0,62.2,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
26,,鈴木匡教,3,□,□,□,,,2,1,0,50.0,0.33,0,0,0,-,1,0.33,3,1,1,0,25.0,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,埼玉アザレア,五十嵐元,,1,3,4,Lose,97
1,L,川崎翔太,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,3.0,53.1,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
2,,加藤克貴,4,■,■,■,■,,10,2,2,20.0,0.50,1,0,0,0.0,0,-,23,1,1,6,9.8,31,17.0,7.0,66.1,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
3,,石井和希,4,■,■,■,■,,43,25,3,58.1,6.25,8,3,1,37.5,0,-,16,0,0,1,1.6,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
5,,佐藤匠,4,■,■,■,■,,13,7,1,53.8,1.75,0,0,0,-,4,1.00,12,0,2,3,2.1,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
6,,浜田翔太,4,■,■,■,■,,3,2,1,66.7,0.50,0,0,0,-,4,1.00,13,0,1,1,0.0,2,0.0,2.0,50.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
7,,笠原啓太,4,■,■,■,■,,8,5,0,62.5,1.25,0,0,0,-,1,0.25,18,1,1,7,13.9,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,97
